Par Pacific Holdings PE Ratio Historical Data,Par Pacific Holdings PE Ratio Historical Data,Par Pacific Holdings PE Ratio Historical Data,Par Pacific Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.23,,2.33
2024-06-30,25.25,$7.82,3.23
2024-03-31,37.06,$7.99,4.64
2023-12-31,36.37,$11.95,3.04
2023-09-30,35.94,$8.58,4.19
2023-06-30,26.61,$10.26,2.59
2023-03-31,29.2,$12.27,2.38
2022-12-31,23.25,$6.06,3.84
2022-09-30,16.41,$4.80,3.42
2022-06-30,15.59,$1.70,9.17
2022-03-31,13.02,$-2.64,0.0
2021-12-31,16.49,$-1.48,0.0
2021-09-30,15.72,$-4.09,0.0
2021-06-30,16.82,$-5.73,0.0
2021-03-31,14.12,$-4.65,0.0
2020-12-31,13.98,$-7.68,0.0
2020-09-30,6.77,$-4.53,0.0
2020-06-30,8.99,$-5.91,0.0
2020-03-31,7.1,$-4.59,0.0
2019-12-31,23.24,$0.73,31.84
2019-09-30,22.86,$0.35,65.31
2019-06-30,20.52,$1.87,10.97
2019-03-31,17.81,$1.64,10.86
2018-12-31,14.18,$0.91,15.58
2018-09-30,20.4,$1.02,20.0
2018-03-31,17.17,$1.30,13.21
2017-12-31,19.28,$1.55,12.44
2017-09-30,20.8,$1.44,14.44
2017-06-30,18.04,$0.36,50.11
2017-03-31,16.49,$-0.11,0.0
2016-12-31,14.54,$-1.15,0.0
2016-09-30,13.08,$-3.17,0.0
2016-06-30,15.34,$-2.11,0.0
2016-03-31,18.76,$-1.48,0.0
2015-12-31,23.54,$-1.01,0.0
2015-09-30,20.83,$1.55,13.44
2015-06-30,18.72,$-0.03,0.0
2015-03-31,23.21,$-1.15,0.0
2014-12-31,16.25,$-1.64,0.0
2014-09-30,16.85,$-4.14,0.0
2014-06-30,20.25,$-2.95,0.0
2014-03-31,19.98,$-2.14,0.0
2013-12-31,22.3,$-1.66,0.0
2013-03-31,14.2,$-0.87,0.0
2012-12-31,12.0,$-0.87,0.0
2012-09-30,10.5,$-0.52,0.0
