Silicon Laboratories PE Ratio Historical Data,Silicon Laboratories PE Ratio Historical Data,Silicon Laboratories PE Ratio Historical Data,Silicon Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,116.1,,0.0
2024-06-30,110.63,$-6.20,0.0
2024-03-31,143.72,$-3.31,0.0
2023-12-31,132.27,$-1.13,0.0
2023-09-30,115.89,$1.82,63.68
2023-06-30,157.74,$2.10,75.11
2023-03-31,175.09,$2.37,73.88
2022-12-31,135.67,$2.54,53.41
2022-09-30,123.44,$1.70,72.61
2022-06-30,140.22,$47.86,2.93
2022-03-31,150.2,$47.70,3.15
2021-12-31,206.42,$47.41,4.35
2021-09-30,140.16,$47.69,2.94
2021-06-30,153.25,$1.00,153.25
2021-03-31,141.07,$0.52,271.29
2020-12-31,127.34,$0.28,454.79
2020-09-30,97.85,$0.30,326.17
2020-06-30,100.27,$0.68,147.46
2020-03-31,85.41,$0.35,244.03
2019-12-31,115.98,$0.42,276.14
2019-09-30,111.35,$0.55,202.45
2019-06-30,103.4,$0.73,141.64
2019-03-31,80.86,$1.42,56.94
2018-12-31,78.81,$1.90,41.48
2018-09-30,91.8,$1.44,63.75
2018-06-30,99.6,$1.27,78.43
2018-03-31,89.9,$1.33,67.59
2017-12-31,88.3,$1.09,81.01
2017-09-30,79.9,$1.67,47.84
2017-06-30,68.35,$1.68,40.68
2017-03-31,73.55,$1.67,44.04
2016-12-31,65.0,$1.44,45.14
2016-09-30,58.8,$1.20,49.0
2016-06-30,48.74,$0.90,54.16
2015-12-31,48.54,$0.68,71.38
2015-09-30,41.55,$0.78,53.27
2015-06-30,54.01,$0.69,78.28
2015-03-31,50.77,$0.65,78.11
2014-12-31,47.62,$0.82,58.07
2016-03-31,44.96,$0.77,58.39
2014-09-30,40.64,$0.87,46.71
2014-06-30,49.25,$0.89,55.34
2014-03-31,52.25,$0.86,60.76
2013-12-31,43.31,$1.14,37.99
2013-09-30,42.71,$1.34,31.87
2013-06-30,41.41,$1.43,28.96
2013-03-31,41.36,$1.61,25.69
2012-12-31,41.8,$1.48,28.24
2012-09-30,36.76,$1.33,27.64
2012-06-30,37.85,$1.35,28.04
2012-03-31,43.0,$1.17,36.75
2011-12-31,43.42,$0.80,54.28
2011-09-30,33.54,$0.79,42.46
2011-06-30,41.26,$0.93,44.37
2011-03-31,43.21,$1.08,40.01
2010-12-31,46.02,$1.56,29.5
2010-09-30,36.65,$2.12,17.29
2010-06-30,40.56,$2.19,18.52
2010-03-31,47.67,$1.96,24.32
2009-12-31,48.38,$1.53,31.62
