Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,58.47,,12.01
2024-06-30,58.94,$4.87,12.1
2024-03-31,57.2,$4.21,13.59
2023-12-31,48.23,$3.86,12.49
2023-09-30,39.69,$3.74,10.61
2022-12-31,39.23,$3.14,12.49
2022-09-30,37.96,$3.85,9.86
2022-06-30,36.71,$4.25,8.64
2022-03-31,45.17,$4.68,9.65
2021-12-31,44.52,$5.18,8.59
2023-06-30,41.14,$4.85,8.48
2021-09-30,42.89,$4.24,10.12
2021-06-30,41.68,$3.49,11.94
2021-03-31,35.88,$1.45,24.74
2020-12-31,27.63,$0.41,67.39
2020-09-30,21.43,$0.37,57.91
2020-06-30,23.24,$0.87,26.71
2020-03-31,25.54,$2.83,9.02
2019-12-31,47.36,$4.02,11.78
2019-09-30,43.99,$4.63,9.5
2019-06-30,40.82,$4.84,8.43
2019-03-31,41.29,$4.52,9.13
2018-12-31,39.01,$4.44,8.79
2018-09-30,44.14,$4.39,10.06
2018-06-30,46.22,$4.10,11.27
2018-03-31,43.37,$4.19,10.35
2017-12-31,49.9,$4.07,12.26
2017-09-30,45.05,$3.87,11.64
2017-06-30,44.94,$4.06,11.07
2017-03-31,44.83,$4.00,11.21
2016-12-31,44.09,$4.03,10.94
2016-09-30,35.13,$4.12,8.53
2016-06-30,37.25,$4.12,9.04
2015-12-31,42.12,$4.15,10.15
2015-09-30,39.52,$4.14,9.55
2015-06-30,43.0,$4.32,9.95
2015-03-31,41.31,$4.31,9.59
2014-12-31,41.36,$4.28,9.66
2023-03-31,35.74,$4.31,8.29
2014-09-30,38.88,$4.08,9.53
2014-06-30,39.12,$4.05,9.66
2014-03-31,36.76,$4.02,9.15
2013-12-31,33.33,$3.89,8.57
2013-09-30,30.12,$3.80,7.93
2013-06-30,29.88,$3.69,8.1
2013-03-31,26.57,$3.53,7.53
2012-12-31,24.38,$3.60,6.77
2012-09-30,24.47,$3.44,7.11
2012-06-30,23.54,$3.29,7.15
2016-03-31,37.77,$3.19,11.84
2012-03-31,23.88,$2.90,8.23
2011-12-31,19.14,$2.82,6.79
2011-09-30,16.67,$2.70,6.17
2011-06-30,19.31,$2.58,7.48
2011-03-31,21.73,$2.43,8.94
2010-12-31,21.16,$2.21,9.57
2010-09-30,17.12,$1.68,10.19
2010-06-30,17.41,$1.64,10.62
2010-03-31,21.14,$1.66,12.73
2009-12-31,18.3,$1.77,10.34
