Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,146.73,,8.38
2024-06-30,155.7,$17.50,8.9
2024-03-31,169.53,$20.19,8.4
2023-12-31,128.13,$24.73,5.18
2023-09-30,138.51,$29.33,4.72
2023-06-30,113.73,$29.03,3.92
2023-03-31,134.14,$35.20,3.81
2022-12-31,121.02,$29.12,4.16
2022-09-30,101.2,$23.43,4.32
2022-06-30,99.75,$17.37,5.74
2022-03-31,94.53,$6.19,15.27
2021-12-31,69.15,$2.25,30.73
2021-09-30,64.11,$-1.09,0.0
2021-06-30,69.87,$-3.36,0.0
2021-03-31,63.3,$-0.68,0.0
2020-12-31,49.27,$3.63,13.57
2020-09-30,37.06,$5.99,6.19
2020-06-30,49.42,$8.60,5.75
2019-12-31,76.52,$5.87,13.04
2019-09-30,69.01,$5.53,12.48
2019-06-30,68.49,$-0.49,0.0
2019-03-31,67.14,$0.05,1342.84
2018-12-31,58.7,$1.67,35.15
2020-03-31,37.49,$0.52,72.1
2018-09-30,88.18,$10.48,8.41
2018-06-30,85.33,$10.38,8.22
2018-03-31,70.93,$9.10,7.79
2017-12-31,69.64,$8.82,7.9
2017-09-30,57.8,$4.73,12.22
2017-03-31,48.78,$4.55,10.72
2016-12-31,49.75,$4.92,10.11
2016-09-30,38.23,$4.73,8.08
2016-06-30,36.38,$4.63,7.86
2016-03-31,45.25,$5.69,7.95
2015-12-31,49.36,$7.30,6.76
2017-06-30,50.17,$8.55,5.87
2015-09-30,41.66,$9.54,4.37
2015-06-30,43.13,$8.75,4.93
2015-03-31,43.54,$7.19,6.06
2014-12-31,33.63,$6.86,4.9
2014-09-30,31.26,$7.02,4.45
2014-06-30,33.68,$5.59,6.02
2014-03-31,35.53,$5.34,6.65
2013-12-31,33.55,$4.98,6.74
2013-09-30,22.62,$4.42,5.12
2013-06-30,22.89,$5.06,4.52
2013-03-31,27.32,$5.71,4.79
2012-12-31,20.41,$3.75,5.44
2012-09-30,18.84,$2.01,9.37
2012-06-30,14.27,$2.91,4.9
2012-03-31,15.13,$2.71,5.58
2011-12-31,12.28,$3.66,3.36
2011-09-30,10.31,$2.81,3.67
2011-06-30,14.79,$1.21,12.22
2011-03-31,17.22,$0.94,18.32
2010-12-31,13.33,$0.57,23.38
2010-09-30,10.07,$-1.16,0.0
2010-06-30,10.31,$-2.79,0.0
2010-03-31,11.26,$-4.30,0.0
2009-12-31,9.55,$-3.51,0.0
