BlackBerry PE Ratio Historical Data,BlackBerry PE Ratio Historical Data,BlackBerry PE Ratio Historical Data,BlackBerry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.58,,0.0
2024-08-31,2.35,$-0.25,0.0
2024-05-31,2.79,$-0.29,0.0
2024-02-29,2.78,$-0.24,0.0
2023-11-30,3.67,$-0.99,0.0
2023-08-31,5.56,$-1.03,0.0
2023-05-31,5.35,$-1.05,0.0
2023-02-28,3.88,$-1.38,0.0
2022-11-30,4.87,$-0.56,0.0
2022-08-31,5.94,$-0.52,0.0
2022-05-31,6.05,$-0.68,0.0
2022-02-28,6.87,$-0.44,0.0
2021-11-30,9.52,$-0.97,0.0
2021-08-31,11.41,$-1.15,0.0
2021-05-31,10.07,$-0.94,0.0
2021-02-28,10.05,$-1.97,0.0
2020-11-30,5.87,$-1.48,0.0
2020-08-31,5.22,$-1.32,0.0
2020-05-31,4.64,$-1.38,0.0
2020-02-29,5.17,$-0.33,0.0
2019-11-30,5.57,$-0.18,0.0
2019-08-31,6.87,$-0.12,0.0
2019-05-31,7.85,$-0.06,0.0
2019-02-28,8.7,$-0.08,0.0
2018-11-30,8.79,$-0.22,0.0
2018-08-31,10.67,$-0.28,0.0
2018-05-31,11.83,$0.99,11.95
2018-02-28,12.14,$1.00,12.14
2017-08-31,9.27,$0.84,11.04
2017-05-31,10.57,$0.20,52.85
2017-02-28,6.96,$-2.31,0.0
2016-11-30,7.71,$-2.66,0.0
2016-08-31,7.59,$-2.68,0.0
2016-05-31,7.27,$-2.07,0.0
2016-02-29,7.81,$-0.74,0.0
2015-08-31,7.59,$-0.57,0.0
2015-05-31,9.8,$-0.72,0.0
2015-02-28,10.81,$-0.99,0.0
2014-11-30,10.39,$-1.84,0.0
2014-08-31,10.18,$-9.93,0.0
2014-05-31,7.6,$-11.38,0.0
2014-02-28,10.0,$-11.17,0.0
2013-11-30,6.33,$-10.18,0.0
2013-08-31,10.12,$-1.79,0.0
2013-05-31,13.96,$-0.40,0.0
2013-02-28,13.36,$-1.23,0.0
2012-11-30,11.6,$-1.66,0.0
2012-08-31,6.69,$-1.17,0.0
2012-05-31,10.33,$-0.09,0.0
2012-02-29,14.17,$2.23,6.35
2011-11-30,17.86,$4.25,4.2
2011-08-31,32.49,$5.48,5.93
2011-05-31,42.85,$6.31,6.79
2011-02-28,66.2,$6.36,10.41
2010-11-30,61.83,$5.85,10.57
2010-08-31,42.84,$5.21,8.22
2010-05-31,60.69,$4.58,13.25
2010-02-28,70.88,$4.32,16.41
2009-11-30,57.89,$3.95,14.66
2009-08-31,73.06,$2.68,27.26
2009-05-31,78.64,$1.33,59.13
