First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.84,,13.46
2024-06-30,27.31,$2.44,11.19
2024-03-31,26.31,$2.51,10.48
2023-12-31,29.19,$2.48,11.77
2023-09-30,23.24,$2.71,8.57
2023-06-30,21.86,$2.81,7.78
2023-03-31,26.85,$2.75,9.76
2022-12-31,34.32,$1.85,18.55
2022-09-30,35.46,$1.86,19.07
2022-06-30,33.16,$1.82,18.22
2022-03-31,31.62,$1.92,16.47
2021-12-31,34.59,$3.11,11.12
2021-09-30,33.92,$3.04,11.16
2021-06-30,34.92,$3.04,11.49
2021-03-31,38.1,$2.93,13.0
2020-12-31,33.41,$2.55,13.1
2020-09-30,25.82,$2.59,9.97
2020-06-30,24.81,$2.59,9.58
2020-03-31,22.87,$2.60,8.8
2019-12-31,32.38,$2.84,11.4
2019-09-30,30.86,$2.71,11.39
2019-06-30,30.14,$2.66,11.33
2019-03-31,30.07,$2.81,10.7
2018-12-31,27.4,$2.77,9.89
2018-09-30,33.35,$2.71,12.31
2018-06-30,31.22,$2.48,12.59
2018-03-31,29.06,$2.19,13.27
2017-12-31,29.22,$2.09,13.98
2017-09-30,27.73,$2.04,13.6
2017-06-30,26.8,$2.13,12.58
2016-12-31,30.28,$2.13,14.22
2016-09-30,22.27,$2.09,10.66
2016-06-30,19.71,$1.97,10.01
2016-03-31,19.58,$1.89,10.36
2015-12-31,20.06,$1.90,10.56
2015-09-30,19.08,$1.88,10.15
2015-06-30,18.88,$1.86,10.15
2015-03-31,18.79,$1.84,10.21
2014-12-31,18.64,$1.89,9.86
2014-09-30,17.71,$1.88,9.42
2014-06-30,18.0,$1.93,9.33
2017-03-31,28.38,$2.00,14.19
2014-03-31,18.57,$1.98,9.38
2013-12-31,18.55,$1.96,9.47
2013-09-30,15.7,$1.86,8.44
2013-06-30,13.4,$1.67,8.03
2013-03-31,12.08,$1.46,8.27
2012-12-31,9.91,$1.26,7.87
2012-09-30,9.45,$1.18,8.01
2012-06-30,9.0,$1.09,8.25
2012-03-31,9.08,$1.02,8.91
2011-12-31,8.1,$0.96,8.43
2011-09-30,6.59,$0.90,7.33
2011-06-30,8.98,$0.82,10.95
2011-03-31,8.22,$0.75,10.97
2010-12-31,9.14,$0.87,10.51
