Universal Display PE Ratio Historical Data,Universal Display PE Ratio Historical Data,Universal Display PE Ratio Historical Data,Universal Display PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,204.99,,43.99
2024-06-30,209.84,$4.66,45.03
2024-03-31,167.79,$4.60,36.48
2023-12-31,190.03,$4.24,44.82
2023-09-30,155.69,$4.31,36.12
2023-06-30,142.62,$4.35,32.79
2023-03-31,153.13,$4.18,36.63
2022-12-31,106.39,$4.40,24.18
2022-09-30,92.66,$4.00,23.16
2022-06-30,99.04,$3.85,25.72
2022-03-31,163.04,$3.83,42.57
2021-12-31,160.87,$3.86,41.68
2021-09-30,166.44,$4.03,41.3
2021-06-30,216.23,$3.91,55.3
2021-03-31,230.06,$3.08,74.69
2020-12-31,223.09,$2.80,79.67
2020-09-30,175.35,$2.23,78.63
2020-06-30,145.03,$2.16,67.14
2020-03-31,127.61,$3.06,41.7
2019-12-31,199.31,$2.92,68.26
2019-09-30,162.3,$2.76,58.81
2019-06-30,181.69,$2.46,73.86
2019-03-31,147.59,$1.77,83.38
2018-12-31,90.29,$1.24,72.82
2018-09-30,113.7,$1.53,74.31
2018-06-30,82.89,$1.33,62.33
2018-03-31,97.29,$2.09,46.55
2017-12-31,166.23,$2.18,76.25
2017-09-30,124.04,$2.04,60.8
2017-06-30,105.15,$1.73,60.78
2017-03-31,82.85,$1.20,69.04
2016-12-31,54.15,$1.02,53.09
2016-09-30,53.39,$0.86,62.09
2016-06-30,65.21,$1.04,62.71
2016-03-31,52.04,$0.33,157.69
2015-12-31,52.36,$0.32,163.64
2015-09-30,32.61,$0.21,155.27
2015-06-30,49.76,$0.15,331.72
2015-03-31,44.97,$0.84,53.53
2014-12-31,26.69,$0.90,29.66
2014-09-30,31.4,$1.86,16.88
2014-06-30,30.88,$1.89,16.34
2014-03-31,30.69,$1.78,17.24
2013-12-31,33.05,$1.59,20.79
2013-09-30,30.81,$0.47,65.55
2013-06-30,27.04,$0.23,117.56
2013-03-31,28.31,$0.13,217.75
2012-12-31,24.64,$0.20,123.22
2012-09-30,33.02,$0.20,165.1
2012-06-30,34.57,$0.45,76.82
2012-03-31,35.14,$0.19,184.93
2011-12-31,35.29,$-0.09,0.0
2011-09-30,46.11,$-0.35,0.0
2011-06-30,33.75,$-0.67,0.0
2011-03-31,52.94,$-0.76,0.0
2010-12-31,29.48,$-0.53,0.0
2010-09-30,22.6,$-0.49,0.0
2010-06-30,17.29,$-0.43,0.0
2010-03-31,11.32,$-0.49,0.0
2009-12-31,11.89,$-0.56,0.0
