Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.58,,7.57
2024-06-30,20.36,$2.85,7.14
2024-03-31,19.88,$2.92,6.81
2023-12-31,18.68,$2.67,6.99
2023-09-30,17.72,$2.31,7.67
2023-06-30,16.69,$1.65,10.11
2023-03-31,15.82,$1.28,12.36
2022-12-31,15.57,$1.20,12.98
2022-09-30,13.85,$1.69,8.2
2022-06-30,14.37,$2.21,6.5
2022-03-31,16.37,$3.08,5.32
2021-12-31,16.19,$3.52,4.6
2021-09-30,15.22,$3.58,4.25
2021-06-30,14.37,$3.89,3.7
2021-03-31,13.46,$3.45,3.9
2020-12-31,11.89,$1.16,10.25
2020-09-30,9.59,$0.75,12.78
2020-06-30,9.66,$0.12,80.48
2020-03-31,7.02,$-0.06,0.0
2019-12-31,11.81,$1.86,6.35
2019-09-30,11.54,$1.74,6.63
2019-06-30,10.87,$1.82,5.97
2019-03-31,10.15,$1.95,5.2
2018-12-31,9.0,$2.02,4.46
2018-09-30,9.69,$2.20,4.41
2018-06-30,9.07,$2.04,4.45
2018-03-31,8.56,$1.86,4.6
2017-12-31,8.27,$1.57,5.27
2017-09-30,8.43,$1.27,6.63
2017-06-30,8.22,$1.29,6.37
2017-03-31,8.53,$1.37,6.22
2016-12-31,7.92,$1.51,5.24
2016-09-30,7.27,$1.32,5.51
2016-06-30,6.5,$1.34,4.85
2016-03-31,6.62,$1.16,5.71
2015-12-31,6.19,$1.23,5.03
2015-09-30,6.12,$1.75,3.5
2015-03-31,6.92,$1.86,3.72
2014-12-31,6.13,$1.93,3.18
2014-09-30,6.2,$1.91,3.24
2014-06-30,6.7,$1.81,3.7
2014-03-31,6.46,$1.85,3.49
2013-12-31,6.36,$1.96,3.24
2015-06-30,6.79,$1.81,3.75
2013-09-30,6.04,$2.05,2.95
2013-06-30,5.88,$2.12,2.77
2013-03-31,6.05,$2.03,2.98
2012-12-31,5.73,$2.20,2.6
2012-09-30,5.47,$2.07,2.64
2012-06-30,4.97,$1.68,2.96
2012-03-31,4.97,$1.45,3.43
2011-12-31,4.59,$1.57,2.93
2011-09-30,4.0,$1.78,2.25
2011-06-30,4.55,$2.25,2.02
2011-03-31,4.7,$3.80,1.24
2010-12-31,4.48,$3.80,1.18
2010-09-30,4.17,$3.65,1.14
2010-06-30,3.26,$3.59,0.91
2010-03-31,3.76,$2.22,1.7
2009-12-31,3.08,$1.97,1.57
