Brookdale Senior Living PE Ratio Historical Data,Brookdale Senior Living PE Ratio Historical Data,Brookdale Senior Living PE Ratio Historical Data,Brookdale Senior Living PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.61,,0.0
2024-06-30,6.83,$-0.92,0.0
2024-03-31,6.61,$-0.77,0.0
2023-12-31,5.82,$-0.84,0.0
2023-09-30,4.14,$-0.57,0.0
2023-06-30,4.22,$-0.50,0.0
2023-03-31,2.95,$-0.93,0.0
2022-12-31,2.73,$-1.27,0.0
2022-09-30,4.27,$-1.58,0.0
2022-06-30,4.54,$-0.54,0.0
2022-03-31,7.05,$-0.54,0.0
2021-12-31,5.16,$-0.59,0.0
2021-09-30,6.3,$-0.39,0.0
2021-06-30,7.9,$-1.96,0.0
2021-03-31,6.05,$-2.16,0.0
2020-12-31,4.43,$0.43,10.3
2020-09-30,2.54,$0.18,14.11
2020-06-30,2.95,$0.44,6.7
2020-03-31,3.12,$0.79,3.95
2019-12-31,7.27,$-1.44,0.0
2019-09-30,7.58,$-0.25,0.0
2019-06-30,7.21,$-0.03,0.0
2019-03-31,6.58,$-0.61,0.0
2018-12-31,6.7,$-2.83,0.0
2018-09-30,9.83,$-3.45,0.0
2018-06-30,9.09,$-5.47,0.0
2018-03-31,6.71,$-4.84,0.0
2017-12-31,9.7,$-3.07,0.0
2017-09-30,10.6,$-4.60,0.0
2017-06-30,14.71,$-2.66,0.0
2017-03-31,13.43,$-2.60,0.0
2016-12-31,12.42,$-2.18,0.0
2016-09-30,17.45,$-1.67,0.0
2016-06-30,15.44,$-1.76,0.0
2016-03-31,15.88,$-2.03,0.0
2015-12-31,18.46,$-2.48,0.0
2015-09-30,22.96,$-2.12,0.0
2015-06-30,34.7,$-1.98,0.0
2015-03-31,37.76,$-1.55,0.0
2014-12-31,36.67,$-0.86,0.0
2014-09-30,32.22,$-0.29,0.0
2014-06-30,33.34,$-0.07,0.0
2014-03-31,33.51,$-0.08,0.0
2013-12-31,27.18,$-0.03,0.0
2013-09-30,26.3,$-0.22,0.0
2013-06-30,26.44,$-0.31,0.0
2013-03-31,27.88,$-0.42,0.0
2012-12-31,25.32,$-0.54,0.0
2012-09-30,23.22,$-0.46,0.0
2012-06-30,17.74,$-0.42,0.0
2012-03-31,18.72,$-0.55,0.0
2011-12-31,17.39,$-0.56,0.0
2011-09-30,12.54,$-0.51,0.0
2011-06-30,24.25,$-0.59,0.0
2011-03-31,28.0,$-0.39,0.0
2010-12-31,21.41,$-0.41,0.0
2010-09-30,16.31,$-0.52,0.0
2010-06-30,15.0,$-0.56,0.0
2010-03-31,20.83,$-0.58,0.0
2009-12-31,18.19,$-0.59,0.0
