Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.83,,7.26
2024-06-30,88.88,$13.34,6.66
2024-03-31,90.47,$13.54,6.68
2023-12-31,87.72,$13.15,6.67
2023-09-30,73.97,$11.97,6.18
2023-06-30,48.9,$12.77,3.83
2023-03-31,47.7,$13.57,3.52
2022-12-31,46.86,$13.24,3.54
2022-09-30,37.54,$12.53,3.0
2022-06-30,31.05,$9.92,3.13
2022-03-31,35.09,$7.19,4.88
2021-12-31,27.11,$4.13,6.56
2021-09-30,18.92,$2.27,8.33
2021-06-30,16.6,$1.15,14.43
2021-03-31,12.33,$-10.05,0.0
2020-12-31,10.24,$-9.58,0.0
2020-09-30,8.63,$-20.23,0.0
2020-06-30,8.49,$-18.55,0.0
2020-03-31,8.49,$-7.04,0.0
2019-12-31,13.69,$-5.81,0.0
2019-09-30,16.94,$6.64,2.55
2019-06-30,23.32,$6.28,3.71
2019-03-31,26.79,$7.16,3.74
2018-12-31,24.12,$6.56,3.68
2018-09-30,19.29,$5.46,3.53
2018-06-30,19.27,$5.23,3.68
2018-03-31,17.38,$4.61,3.77
2017-12-31,15.5,$3.48,4.45
2017-09-30,14.5,$2.50,5.8
2017-06-30,15.89,$3.32,4.78
2017-03-31,20.57,$5.91,3.48
2016-12-31,18.16,$7.77,2.34
2016-09-30,15.46,$5.75,2.69
2016-06-30,7.82,$-44.04,0.0
2016-03-31,3.95,$-45.26,0.0
2015-12-31,6.44,$-45.74,0.0
2015-09-30,12.57,$-43.30,0.0
2015-06-30,18.1,$7.80,2.32
2015-03-31,31.82,$8.10,3.93
2014-12-31,41.75,$9.60,4.35
2014-09-30,57.23,$13.10,4.37
2014-06-30,71.19,$13.10,5.43
2014-03-31,66.9,$14.00,4.78
2013-12-31,82.02,$16.70,4.91
2013-09-30,76.33,$17.30,4.41
2013-06-30,80.22,$18.70,4.29
2012-12-31,68.84,$19.70,3.49
2012-09-30,75.01,$12.80,5.86
2012-06-30,78.05,$12.30,6.35
2012-03-31,82.55,$5.00,16.51
2011-12-31,91.44,$5.10,17.93
2013-03-31,89.08,$10.60,8.4
2011-09-30,83.97,$10.20,8.23
2011-06-30,107.95,$18.00,6.0
2011-03-31,112.25,$17.00,6.6
2010-12-31,104.7,$15.20,6.89
2010-09-30,82.86,$15.20,5.45
2010-06-30,71.6,$13.70,5.23
2010-03-31,77.69,$10.60,7.33
2009-12-31,70.23,$11.50,6.11
