AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.46,,28.27
2024-06-30,9.21,$0.37,24.9
2024-03-31,9.2,$0.91,10.11
2023-12-31,8.79,$0.01,0.0
2023-09-30,8.1,$0.37,21.91
2023-06-30,8.39,$-0.26,0.0
2023-03-31,8.04,$-1.56,0.0
2022-12-31,7.99,$-2.54,0.0
2022-09-30,6.25,$-3.57,0.0
2022-06-30,7.95,$-1.91,0.0
2022-03-31,9.13,$-1.87,0.0
2021-12-31,10.2,$1.19,8.58
2021-09-30,10.46,$2.66,3.93
2021-06-30,10.95,$3.46,3.17
2021-03-31,10.65,$5.53,1.93
2020-12-31,9.7,$-0.70,0.0
2020-09-30,8.44,$-0.51,0.0
2020-06-30,7.63,$-1.69,0.0
2020-03-31,6.09,$-3.78,0.0
2019-12-31,9.86,$1.15,8.57
2019-09-30,8.73,$-2.02,0.0
2019-06-30,8.85,$-1.54,0.0
2019-03-31,9.2,$0.01,0.0
2018-12-31,8.7,$0.60,14.5
2018-09-30,9.06,$3.17,2.86
2018-06-30,8.79,$3.46,2.54
2018-03-31,8.69,$2.81,3.09
2017-12-31,9.01,$1.96,4.6
2017-09-30,9.43,$4.06,2.32
2017-06-30,9.03,$4.84,1.86
2017-03-31,8.22,$4.36,1.88
2016-12-31,7.29,$1.82,4.0
2016-09-30,7.63,$0.46,16.59
2016-06-30,7.52,$-2.90,0.0
2016-03-31,6.85,$-1.04,0.0
2015-12-31,6.17,$0.56,11.01
2015-09-30,6.43,$-2.08,0.0
2015-06-30,6.12,$0.30,20.41
2015-03-31,6.89,$-1.05,0.0
2014-12-31,6.84,$-0.73,0.0
2014-09-30,6.47,$-0.07,0.0
2014-06-30,6.92,$-2.41,0.0
2014-03-31,6.18,$2.12,2.91
2013-12-31,5.38,$3.17,1.7
2013-09-30,6.09,$5.82,1.05
2013-06-30,6.0,$7.87,0.76
2013-03-31,8.16,$2.38,3.43
2012-12-31,6.93,$4.40,1.57
2012-09-30,7.96,$3.02,2.64
2012-06-30,7.46,$4.25,1.76
2012-03-31,6.32,$7.63,0.83
2011-12-31,5.77,$6.66,0.87
2011-03-31,5.17,$6.90,0.75
2010-12-31,4.86,$7.55,0.64
2010-09-30,4.29,$6.84,0.63
2010-06-30,4.06,$7.17,0.57
2010-03-31,3.74,$6.95,0.54
2009-12-31,3.68,$6.18,0.6
2009-06-30,2.89,$6.21,0.46
2009-03-31,2.02,$5.58,0.36
