Arrowhead Pharmaceuticals PE Ratio Historical Data,Arrowhead Pharmaceuticals PE Ratio Historical Data,Arrowhead Pharmaceuticals PE Ratio Historical Data,Arrowhead Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.84,,0.0
2024-06-30,25.99,$-4.67,0.0
2024-03-31,28.6,$-4.25,0.0
2023-12-31,30.6,$-2.78,0.0
2023-09-30,26.87,$-1.93,0.0
2023-06-30,35.66,$-1.71,0.0
2023-03-31,25.4,$-1.43,0.0
2022-12-31,40.56,$-1.47,0.0
2022-09-30,33.05,$-1.68,0.0
2022-06-30,35.21,$-1.48,0.0
2022-03-31,45.99,$-1.09,0.0
2021-12-31,66.3,$-1.76,0.0
2021-09-30,62.43,$-1.36,0.0
2021-06-30,82.82,$-1.23,0.0
2021-03-31,66.31,$-1.07,0.0
2020-12-31,76.73,$-1.01,0.0
2020-09-30,43.06,$-0.84,0.0
2020-06-30,43.19,$-0.25,0.0
2020-03-31,28.77,$0.09,319.67
2019-12-31,63.43,$0.53,119.68
2019-09-30,28.18,$0.69,40.84
2019-06-30,26.5,$0.46,57.61
2019-03-31,18.35,$0.07,262.14
2018-12-31,12.42,$-0.35,0.0
2018-09-30,19.17,$-0.66,0.0
2018-06-30,13.6,$-0.68,0.0
2018-03-31,7.21,$-0.57,0.0
2017-12-31,3.68,$-0.47,0.0
2017-09-30,4.33,$-0.46,0.0
2017-06-30,1.62,$-0.66,0.0
2017-03-31,1.85,$-0.91,0.0
2016-12-31,1.55,$-1.18,0.0
2016-09-30,7.35,$-1.33,0.0
2016-06-30,5.32,$-1.41,0.0
2016-03-31,4.82,$-1.36,0.0
2015-12-31,6.15,$-1.52,0.0
2015-09-30,5.74,$-1.61,0.0
2015-06-30,7.15,$-1.61,0.0
2015-03-31,6.77,$-1.56,0.0
2014-12-31,7.38,$-1.36,0.0
2014-09-30,14.77,$-1.23,0.0
2014-06-30,14.31,$-0.81,0.0
2014-03-31,16.42,$-0.82,0.0
2013-12-31,10.85,$-0.92,0.0
2013-09-30,5.69,$-0.97,0.0
2013-06-30,2.0,$-1.40,0.0
2013-03-31,2.18,$-1.88,0.0
2012-12-31,2.14,$-1.97,0.0
2012-09-30,2.62,$-1.89,0.0
2012-06-30,3.84,$-1.85,0.0
2012-03-31,6.38,$-1.44,0.0
2011-12-31,4.19,$-0.54,0.0
2011-09-30,3.9,$-0.49,0.0
2011-06-30,5.1,$-0.40,0.0
2011-03-31,7.5,$-0.20,0.0
2010-12-31,8.95,$-0.90,0.0
2010-09-30,10.5,$-1.00,0.0
2010-06-30,11.0,$-1.30,0.0
2010-03-31,11.4,$-1.80,0.0
2009-12-31,5.3,$-2.70,0.0
