International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,48.42,,39.69
2024-06-30,42.73,$1.22,35.02
2024-03-31,38.24,$0.49,78.04
2023-12-31,34.96,$0.82,42.63
2023-09-30,33.84,$0.74,45.72
2023-06-30,29.95,$2.91,10.29
2023-03-31,33.44,$3.61,9.26
2022-12-31,31.73,$4.07,7.8
2022-09-30,28.68,$5.25,5.46
2022-06-30,37.46,$4.81,7.79
2022-03-31,40.94,$4.52,9.06
2021-12-31,41.26,$4.45,9.27
2021-09-30,48.66,$4.56,10.67
2021-06-30,52.89,$2.88,18.36
2021-03-31,46.27,$2.46,18.81
2020-12-31,42.1,$1.22,34.51
2020-09-30,33.97,$1.25,27.17
2020-06-30,29.09,$1.60,18.18
2020-03-31,25.34,$1.66,15.27
2019-12-31,37.05,$3.07,12.07
2019-09-30,33.27,$3.43,9.7
2019-06-30,34.46,$3.93,8.77
2019-03-31,36.38,$4.17,8.72
2018-12-31,31.41,$4.86,6.46
2018-09-30,37.83,$7.58,4.99
2018-06-30,39.72,$7.16,5.55
2018-03-31,40.4,$6.38,6.33
2017-12-31,43.46,$5.14,8.45
2017-09-30,42.25,$2.17,19.47
2017-06-30,41.72,$1.97,21.18
2017-03-31,37.1,$1.88,19.73
2016-12-31,38.43,$2.19,17.55
2016-09-30,34.4,$2.09,16.46
2016-06-30,30.1,$1.87,16.1
2016-03-31,28.85,$2.31,12.49
2015-12-31,26.15,$2.24,11.68
2015-09-30,25.93,$2.13,12.18
2015-06-30,32.38,$2.43,13.33
2015-03-31,37.48,$2.26,16.58
2014-12-31,35.93,$1.31,27.43
2014-09-30,31.78,$1.97,16.13
2014-06-30,32.89,$1.99,16.53
2014-03-31,29.67,$2.19,13.55
2013-12-31,31.48,$3.11,10.12
2013-09-30,28.54,$2.66,10.73
2013-06-30,28.05,$2.35,11.94
2013-03-31,29.3,$2.09,14.02
2012-12-31,24.88,$1.81,13.75
2012-09-30,22.49,$1.87,12.03
2012-06-30,17.76,$2.52,7.05
2012-03-31,21.38,$2.73,7.83
2011-12-31,17.89,$3.08,5.81
2011-09-30,13.92,$3.22,4.32
2011-06-30,17.67,$2.94,6.01
2011-03-31,17.74,$2.63,6.74
2010-12-31,15.91,$1.47,10.82
2010-09-30,12.64,$0.50,25.28
2010-06-30,13.08,$0.46,28.42
2010-03-31,14.15,$0.57,24.82
2009-12-31,15.38,$1.56,9.86
