"AXOS FINANCIAL, INC PE Ratio Historical Data","AXOS FINANCIAL, INC PE Ratio Historical Data","AXOS FINANCIAL, INC PE Ratio Historical Data","AXOS FINANCIAL, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.2,,8.85
2024-06-30,57.15,$7.71,7.41
2024-03-31,54.04,$7.37,7.33
2023-12-31,54.6,$6.78,8.05
2023-09-30,37.86,$5.13,7.38
2023-06-30,39.44,$4.71,8.37
2023-03-31,36.92,$4.27,8.65
2022-09-30,34.23,$3.95,8.67
2022-06-30,35.85,$3.97,9.03
2022-03-31,46.39,$3.91,11.86
2021-12-31,55.91,$3.78,14.79
2021-09-30,51.54,$3.69,13.97
2021-06-30,46.39,$3.58,12.96
2021-03-31,47.01,$3.43,13.71
2020-12-31,37.53,$3.45,10.88
2020-09-30,23.31,$3.21,7.26
2020-06-30,22.08,$2.99,7.38
2020-03-31,18.13,$2.90,6.25
2019-12-31,30.28,$2.62,11.56
2019-09-30,27.65,$2.57,10.76
2019-06-30,27.25,$2.49,10.94
2019-03-31,28.96,$2.41,12.02
2018-12-31,25.18,$2.58,9.76
2018-09-30,34.39,$2.45,14.04
2018-06-30,40.91,$2.37,17.26
2018-03-31,40.53,$2.29,17.7
2017-12-31,29.9,$2.12,14.1
2017-09-30,28.47,$2.13,13.37
2017-06-30,23.72,$2.98,7.96
2017-03-31,26.13,$2.94,8.89
2016-12-31,28.55,$2.87,9.95
2022-12-31,38.22,$2.81,13.6
2016-06-30,17.71,$1.86,9.52
2016-03-31,21.34,$1.79,11.96
2015-12-31,21.05,$1.68,12.57
2015-09-30,32.21,$1.57,20.48
2015-06-30,26.43,$1.49,17.77
2016-09-30,22.4,$1.40,15.97
2015-03-31,23.26,$1.23,18.99
2014-12-31,19.45,$1.14,17.1
2014-09-30,18.18,$1.04,17.56
2014-06-30,18.37,$0.93,19.75
2014-03-31,21.44,$0.84,25.6
2013-09-30,16.2,$0.76,21.25
2013-06-30,11.46,$0.72,15.97
2013-03-31,8.97,$0.68,13.14
2012-12-31,6.95,$0.73,9.52
2012-09-30,6.51,$0.70,9.3
2012-06-30,4.94,$0.67,7.4
2013-12-31,19.61,$0.65,30.05
2012-03-31,4.27,$0.56,7.69
2011-12-31,4.06,$0.53,7.67
2011-09-30,3.37,$0.51,6.66
2011-06-30,3.6,$0.47,7.66
2011-03-31,3.88,$0.45,8.62
2010-12-31,3.88,$0.52,7.46
2010-09-30,2.97,$0.56,5.3
2010-06-30,3.53,$0.55,6.42
2010-03-31,3.48,$0.54,6.42
2009-12-31,2.5,$0.43,5.85
