Teladoc Health PE Ratio Historical Data,Teladoc Health PE Ratio Historical Data,Teladoc Health PE Ratio Historical Data,Teladoc Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.51,,0.0
2024-06-30,9.78,$-5.93,0.0
2024-03-31,15.1,$-1.41,0.0
2023-12-31,21.55,$-1.34,0.0
2023-09-30,18.59,$-24.66,0.0
2023-06-30,25.32,$-24.76,0.0
2023-03-31,25.9,$-43.58,0.0
2022-12-31,23.65,$-84.74,0.0
2022-09-30,25.35,$-61.32,0.0
2022-06-30,33.21,$-61.40,0.0
2022-03-31,72.13,$-43.04,0.0
2021-12-31,91.82,$-2.77,0.0
2021-09-30,126.81,$-5.77,0.0
2021-06-30,166.29,$-5.67,0.0
2021-03-31,181.75,$-5.15,0.0
2020-12-31,199.96,$-4.24,0.0
2020-09-30,219.24,$-1.43,0.0
2020-06-30,190.84,$-1.28,0.0
2020-03-31,155.01,$-1.35,0.0
2019-12-31,83.72,$-1.38,0.0
2019-09-30,67.72,$-1.47,0.0
2019-06-30,66.41,$-1.53,0.0
2019-03-31,55.6,$-1.52,0.0
2018-12-31,49.57,$-1.48,0.0
2018-09-30,86.35,$-1.89,0.0
2018-06-30,58.05,$-2.10,0.0
2018-03-31,40.3,$-1.98,0.0
2017-12-31,34.85,$-1.89,0.0
2017-09-30,33.15,$-1.44,0.0
2017-06-30,34.7,$-1.54,0.0
2017-03-31,25.0,$-1.64,0.0
2016-12-31,16.5,$-1.74,0.0
2016-09-30,18.31,$-1.82,0.0
2016-06-30,16.02,$-1.52,0.0
