Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp PE Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp PE Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp PE Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.36,,13.86
2024-06-30,13.45,$1.18,11.4
2024-03-31,16.54,$1.06,15.6
2023-12-31,14.97,$1.03,14.53
2023-09-30,11.91,$0.86,13.85
2023-06-30,11.64,$0.91,12.79
2023-03-31,9.55,$0.82,11.65
2022-12-31,10.17,$0.88,11.56
2022-09-30,8.69,$0.85,10.23
2022-06-30,7.62,$0.68,11.21
2022-03-31,9.2,$0.76,12.1
2021-12-31,6.87,$0.62,11.08
2021-09-30,6.62,$0.70,9.46
2021-06-30,6.92,$0.69,10.03
2021-03-31,6.79,$0.58,11.7
2020-12-31,7.96,$0.23,34.59
2020-09-30,7.69,$0.54,14.23
2020-06-30,9.73,$0.87,11.19
2020-03-31,6.6,$0.94,7.02
2019-12-31,13.46,$1.41,9.55
2019-09-30,10.63,$1.45,7.33
2019-06-30,10.89,$1.21,9.0
2019-03-31,9.23,$1.12,8.24
2018-12-31,7.04,$1.13,6.23
2018-09-30,5.15,$0.83,6.2
2018-06-30,5.24,$1.04,5.04
2018-03-31,8.99,$1.11,8.1
2017-12-31,8.88,$1.16,7.65
2017-09-30,8.88,$1.30,6.83
2017-06-30,8.09,$1.14,7.09
2017-03-31,8.54,$1.32,6.47
2016-12-31,7.12,$1.25,5.7
2016-09-30,7.6,$1.00,7.6
2016-06-30,7.35,$0.50,14.7
2016-03-31,5.36,$0.33,16.23
2015-12-31,3.73,$0.25,14.93
2015-09-30,3.15,$0.10,31.49
2015-06-30,4.2,$0.39,10.78
2015-03-31,4.31,$0.42,10.27
2014-12-31,5.0,$0.58,8.63
2014-09-30,6.45,$0.94,6.86
2014-06-30,8.53,$1.19,7.17
2014-03-31,7.09,$1.23,5.76
2013-12-31,8.68,$1.27,6.84
2013-09-30,7.62,$1.45,5.25
2013-06-30,7.97,$1.41,5.65
2013-03-31,11.88,$1.39,8.53
2012-12-31,10.21,$1.40,7.29
2012-09-30,9.92,$1.23,8.06
2012-06-30,9.27,$1.04,8.96
2012-03-31,9.36,$1.25,7.47
2011-12-31,6.62,$1.05,6.32
2011-09-30,5.51,$1.16,4.77
2011-06-30,7.09,$1.47,4.82
2011-03-31,6.98,$1.28,5.47
2010-12-31,6.29,$1.50,4.18
2010-09-30,5.2,$1.17,4.45
2010-03-31,4.2,$1.16,3.61
2009-12-31,4.45,$1.02,4.39
2009-09-30,4.22,$0.90,4.69
