TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.51,,6.96
2024-06-30,7.03,$1.51,4.66
2024-03-31,6.39,$1.55,4.12
2023-12-31,8.2,$1.83,4.48
2023-09-30,8.54,$1.58,5.41
2023-06-30,9.15,$0.70,13.08
2023-03-31,8.52,$0.29,29.38
2022-12-31,8.69,$0.02,434.55
2022-09-30,8.52,$0.24,35.49
2022-06-30,10.95,$-1.27,0.0
2022-03-31,9.92,$-1.06,0.0
2021-12-31,10.61,$-1.69,0.0
2021-09-30,10.03,$-1.93,0.0
2021-06-30,9.45,$-0.96,0.0
2021-03-31,8.92,$-1.09,0.0
2020-12-31,7.13,$-0.87,0.0
2020-09-30,5.75,$-0.22,0.0
2020-06-30,5.51,$0.29,19.01
2020-03-31,4.85,$0.45,10.77
2019-12-31,6.59,$0.15,43.96
2019-09-30,5.96,$-0.36,0.0
2019-06-30,5.94,$-0.73,0.0
2019-03-31,6.67,$-1.01,0.0
2018-12-31,3.72,$-0.66,0.0
2018-09-30,5.06,$-0.72,0.0
2018-06-30,4.47,$-0.56,0.0
2018-03-31,4.84,$-0.32,0.0
2017-12-31,5.26,$-0.50,0.0
2017-09-30,5.14,$0.05,102.9
2017-06-30,5.6,$0.09,62.22
2017-03-31,5.09,$0.15,33.94
2016-12-31,4.76,$0.31,15.36
2016-09-30,3.83,$0.14,27.36
2016-06-30,4.46,$0.59,7.56
2016-03-31,3.95,$0.19,20.79
2015-12-31,2.99,$0.05,59.74
2015-09-30,3.8,$0.49,7.76
2015-06-30,6.17,$0.04,154.37
2015-03-31,7.29,$0.25,29.15
2014-12-31,6.99,$0.39,17.93
2014-09-30,7.98,$-0.27,0.0
2014-06-30,9.19,$-0.27,0.0
2014-03-31,8.6,$-0.04,0.0
2013-12-31,9.24,$-0.24,0.0
2013-09-30,9.06,$0.14,64.7
2013-06-30,9.39,$0.41,22.9
2013-03-31,9.79,$-3.15,0.0
2012-12-31,10.04,$-2.71,0.0
2012-09-30,9.88,$-2.75,0.0
2012-06-30,10.77,$-2.76,0.0
2012-03-31,11.7,$0.79,14.82
2011-12-31,12.68,$0.75,16.91
2011-09-30,13.21,$0.92,14.36
2011-06-30,12.8,$0.86,14.88
2011-03-31,12.45,$1.04,11.97
2010-12-31,12.37,$0.99,12.49
2010-09-30,12.29,$1.06,11.6
2010-06-30,10.5,$1.20,8.75
2010-03-31,12.34,$0.94,13.13
2009-12-31,12.3,$0.80,15.38
