Veeco Instruments PE Ratio Historical Data,Veeco Instruments PE Ratio Historical Data,Veeco Instruments PE Ratio Historical Data,Veeco Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.57,,21.68
2024-06-30,46.71,$1.41,33.13
2024-03-31,35.17,$-0.45,0.0
2023-12-31,31.03,$-0.65,0.0
2023-09-30,28.11,$0.98,28.68
2023-06-30,25.68,$0.83,30.94
2023-03-31,21.13,$2.62,8.06
2022-12-31,18.58,$2.69,6.91
2022-09-30,18.32,$0.84,21.81
2022-06-30,19.4,$0.74,26.22
2022-03-31,27.19,$0.68,39.99
2021-12-31,28.47,$0.49,58.1
2021-09-30,22.21,$0.34,65.32
2021-06-30,24.04,$0.18,133.56
2021-03-31,20.74,$-0.11,0.0
2020-12-31,17.36,$-0.17,0.0
2020-09-30,11.67,$-0.86,0.0
2020-06-30,13.49,$-1.12,0.0
2020-03-31,9.57,$-1.28,0.0
2019-12-31,14.69,$-1.67,0.0
2019-09-30,11.68,$-4.09,0.0
2019-06-30,12.22,$-4.03,0.0
2019-03-31,10.84,$-8.72,0.0
2018-12-31,7.41,$-8.66,0.0
2018-09-30,10.25,$-5.67,0.0
2018-06-30,14.25,$-5.95,0.0
2018-03-31,17.0,$-1.36,0.0
2017-12-31,14.85,$-0.99,0.0
2017-09-30,21.4,$-1.00,0.0
2017-06-30,27.85,$-2.31,0.0
2017-03-31,29.85,$-2.70,0.0
2016-12-31,29.15,$-3.13,0.0
2016-09-30,19.63,$-3.25,0.0
2016-06-30,16.56,$-1.34,0.0
2016-03-31,19.48,$-0.73,0.0
2015-12-31,20.56,$-0.81,0.0
2015-09-30,20.51,$-2.00,0.0
2015-06-30,28.74,$-2.48,0.0
2015-03-31,30.55,$-2.66,0.0
2014-12-31,34.88,$-1.70,0.0
2014-09-30,34.95,$-0.83,0.0
2014-06-30,37.26,$-0.64,0.0
2014-03-31,41.93,$-0.36,0.0
2013-12-31,32.91,$-1.10,0.0
2013-09-30,37.22,$-0.76,0.0
2013-06-30,35.41,$-0.26,0.0
2013-03-31,38.41,$0.15,256.07
2012-12-31,29.49,$0.83,35.53
2012-09-30,30.0,$1.58,18.99
2012-06-30,34.36,$2.14,16.06
2012-03-31,28.6,$2.29,12.49
2011-12-31,20.8,$6.57,3.17
2011-09-30,24.4,$8.09,3.02
2011-06-30,48.41,$8.39,5.77
2010-12-31,42.96,$8.56,5.02
2010-09-30,34.87,$4.36,8.0
2010-06-30,34.28,$3.56,9.63
2010-03-31,43.48,$2.40,18.12
2009-12-31,33.04,$1.31,25.22
2011-03-31,50.84,$0.15,338.93
