Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.68,,11.58
2024-06-30,17.06,$1.70,10.04
2024-03-31,17.14,$1.85,9.26
2023-12-31,16.48,$1.94,8.5
2023-09-30,14.06,$2.17,6.48
2023-06-30,13.35,$2.15,6.21
2023-03-31,13.66,$2.01,6.8
2022-12-31,16.9,$1.39,12.16
2022-09-30,15.37,$1.06,14.5
2022-06-30,13.68,$1.02,13.42
2022-03-31,15.02,$1.02,14.73
2021-12-31,16.49,$1.67,9.87
2021-09-30,15.3,$1.77,8.65
2021-06-30,15.77,$1.81,8.71
2021-03-31,17.19,$1.75,9.82
2020-12-31,14.61,$1.36,10.74
2020-09-30,10.98,$1.21,9.07
2020-06-30,11.91,$1.15,10.36
2020-03-31,11.3,$1.19,9.5
2019-12-31,15.53,$1.38,11.26
2019-09-30,14.51,$1.37,10.59
2019-06-30,13.88,$1.30,10.68
2019-03-31,13.61,$1.23,11.07
2018-12-31,12.69,$1.22,10.4
2018-09-30,15.79,$0.81,19.5
2018-06-30,15.12,$0.76,19.9
2018-03-31,13.64,$0.75,18.19
2017-12-31,13.98,$0.71,19.69
2017-09-30,14.56,$1.09,13.35
2017-06-30,13.61,$1.05,12.96
2017-03-31,13.58,$1.08,12.57
2016-12-31,14.11,$1.05,13.44
2016-09-30,10.85,$1.07,10.14
2016-06-30,9.58,$1.15,8.33
2016-03-31,9.23,$1.06,8.7
2015-12-31,10.15,$1.00,10.15
2015-09-30,10.34,$0.98,10.55
2015-06-30,10.64,$0.91,11.69
2015-03-31,10.35,$0.87,11.9
2014-12-31,10.76,$0.95,11.33
2014-09-30,9.31,$0.95,9.8
2014-06-30,10.17,$0.92,11.05
2014-03-31,10.53,$1.02,10.32
2013-12-31,10.77,$1.00,10.77
2013-09-30,9.89,$0.98,10.09
2013-06-30,9.56,$0.95,10.06
2013-03-31,9.43,$0.96,9.82
2012-12-31,8.08,$0.95,8.51
2012-09-30,9.2,$0.95,9.68
2012-06-30,8.06,$0.93,8.67
2012-03-31,8.75,$0.82,10.67
2011-12-31,7.7,$0.76,10.13
2011-09-30,6.12,$0.60,10.2
2011-06-30,7.04,$0.55,12.8
2011-03-31,6.94,$0.49,14.17
2010-12-31,7.65,$0.44,17.39
2010-09-30,6.71,$0.26,25.82
2010-06-30,6.57,$0.19,34.59
2010-03-31,7.54,$0.22,34.26
2009-12-31,7.79,$0.18,43.29
