EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,59.1,,11.48
2024-06-30,53.48,$5.15,10.38
2024-03-31,52.28,$5.02,10.41
2023-12-31,42.98,$5.22,8.23
2023-09-30,43.18,$5.06,8.53
2023-06-30,43.52,$2.47,17.62
2023-03-31,42.96,$-0.13,0.0
2022-12-31,39.92,$2.07,19.28
2022-09-30,35.26,$1.24,28.44
2022-03-31,54.33,$17.05,3.19
2021-12-31,62.84,$20.25,3.1
2021-09-30,65.66,$18.21,3.61
2021-06-30,66.01,$16.86,3.92
2021-03-31,57.41,$2.12,27.08
2020-12-31,46.96,$2.25,20.87
2022-06-30,39.72,$5.55,7.16
2020-09-30,48.53,$7.19,6.75
2020-06-30,48.72,$6.62,7.36
2020-03-31,27.82,$6.03,4.61
2019-12-31,33.27,$2.09,15.92
2019-09-30,35.77,$2.20,16.26
2019-06-30,36.12,$2.56,14.11
2019-03-31,33.83,$2.74,12.35
2018-12-31,25.48,$2.57,9.91
2018-09-30,29.97,$-0.74,0.0
2018-06-30,32.91,$-0.99,0.0
2018-03-31,36.52,$-1.61,0.0
2017-12-31,34.25,$-1.07,0.0
2017-09-30,34.91,$6.74,5.18
2017-06-30,31.69,$6.62,4.79
2017-03-31,30.47,$6.98,4.36
2016-12-31,26.95,$6.45,4.18
2016-09-30,29.86,$1.55,19.26
2016-06-30,21.25,$1.64,12.96
2016-03-31,21.65,$1.33,16.28
2015-12-31,24.94,$1.43,17.44
2015-09-30,22.18,$1.78,12.46
2015-06-30,21.51,$1.87,11.5
2015-03-31,20.59,$2.33,8.84
2014-12-31,20.04,0,0.0
2014-09-30,20.22,$-0.10,0.0
2014-06-30,17.87,$-0.11,0.0
2014-03-31,19.72,$-0.15,0.0
2013-12-31,19.59,$2.18,8.99
2013-09-30,19.92,$2.10,9.49
2013-06-30,18.47,$2.02,9.14
2013-03-31,19.36,$2.06,9.4
2012-12-31,18.21,$1.99,9.15
2012-09-30,17.27,$2.93,5.89
2012-06-30,15.0,$2.86,5.24
2012-03-31,13.18,$2.55,5.17
2011-12-31,10.83,$2.47,4.38
2011-09-30,10.53,$1.38,7.63
2011-06-30,11.52,$1.33,8.66
2011-03-31,11.08,$1.42,7.8
2010-12-31,9.94,$1.36,7.31
2010-09-30,8.71,$1.96,4.44
2010-06-30,7.0,$1.90,3.69
2010-03-31,9.63,$1.84,5.23
2009-12-31,8.4,$1.82,4.62
