Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.55,,26.32
2024-06-30,96.09,$4.01,23.96
2024-03-31,106.28,$4.02,26.44
2023-12-31,95.91,$4.11,23.34
2023-09-30,88.32,$4.13,21.38
2023-06-30,101.61,$4.14,24.54
2023-03-31,92.7,$4.13,22.45
2022-12-31,78.37,$3.97,19.74
2022-09-30,80.1,$3.98,20.13
2022-06-30,71.66,$3.72,19.26
2022-03-31,81.02,$3.29,24.63
2021-12-31,92.05,$3.25,28.32
2021-09-30,77.58,$2.97,26.12
2021-06-30,78.16,$2.81,27.81
2021-03-31,76.37,$2.50,30.55
2020-12-31,66.8,$2.33,28.67
2020-09-30,56.64,$2.48,22.84
2020-06-30,50.43,$2.36,21.37
2019-12-31,54.72,$2.03,26.95
2019-09-30,45.51,$2.12,21.47
2019-06-30,45.08,$2.03,22.21
2019-03-31,48.34,$1.97,24.54
2018-12-31,40.45,$2.23,18.14
2018-09-30,44.45,$1.89,23.52
2018-06-30,42.32,$1.78,23.78
2018-03-31,38.13,$1.37,27.83
2017-12-31,42.85,$1.56,27.47
2017-09-30,41.77,$1.72,24.28
2020-03-31,45.1,$1.57,28.73
2017-06-30,38.45,$1.84,20.9
2017-03-31,39.88,$1.70,23.46
2016-12-31,35.94,$1.65,21.78
2016-09-30,37.51,$1.61,23.3
2016-06-30,30.37,$1.54,19.72
2016-03-31,29.47,$1.37,21.51
2015-12-31,24.67,$1.50,16.45
2015-09-30,24.79,$1.23,20.15
2015-06-30,29.33,$1.26,23.28
2015-03-31,34.51,$1.48,23.31
2014-12-31,33.87,$1.42,23.85
2014-09-30,31.27,$1.63,19.19
2014-06-30,36.22,$1.68,21.56
2014-03-31,38.1,$1.71,22.28
2013-12-31,39.91,$1.68,23.76
2013-09-30,35.16,$1.69,20.8
2013-06-30,29.96,$1.64,18.33
2013-03-31,29.82,$1.58,18.94
2012-12-31,27.49,$1.74,15.85
2012-09-30,26.75,$1.71,15.69
2012-06-30,22.55,$1.65,13.67
2012-03-31,21.58,$1.59,13.61
2011-12-31,19.11,$1.29,14.87
2011-09-30,15.87,$1.30,12.25
2011-06-30,20.47,$1.13,18.11
2010-12-31,16.87,$0.83,20.32
2010-09-30,14.32,$0.82,17.57
2010-06-30,12.4,$0.78,15.89
2010-03-31,12.85,$0.73,17.6
2009-12-31,12.38,$0.70,17.69
2011-03-31,20.08,$0.62,32.39
