Atlantica Sustainable Infrastructure PE Ratio Historical Data,Atlantica Sustainable Infrastructure PE Ratio Historical Data,Atlantica Sustainable Infrastructure PE Ratio Historical Data,Atlantica Sustainable Infrastructure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.98,,66.61
2024-06-30,21.51,$0.33,65.19
2024-03-31,17.75,$0.46,38.59
2023-12-31,20.15,$0.42,47.97
2023-09-30,17.49,$0.43,40.68
2023-06-30,21.05,$0.14,150.34
2023-03-31,26.07,$-0.03,0.0
2022-12-31,22.48,$-0.04,0.0
2022-09-30,22.46,$-0.17,0.0
2022-06-30,27.19,$-0.16,0.0
2022-03-31,29.17,$-0.19,0.0
2021-12-31,29.37,$-0.26,0.0
2021-09-30,28.03,$-0.63,0.0
2021-06-30,29.88,$0.33,90.55
2021-03-31,29.06,$0.34,85.48
2020-12-31,29.8,$0.11,270.88
2020-09-30,22.18,$0.59,37.6
2020-06-30,22.25,$0.16,139.05
2020-03-31,16.79,$0.31,54.15
2019-12-31,19.54,$0.62,31.52
2019-09-30,17.56,$-0.18,0.0
2019-06-30,16.25,$-0.08,0.0
2019-03-31,13.7,$0.37,37.03
2018-12-31,13.54,$0.41,33.03
2018-09-30,14.22,$-0.34,0.0
2018-06-30,13.72,$-0.57,0.0
2018-03-31,13.09,$-1.05,0.0
2017-12-31,13.96,$-1.12,0.0
2017-09-30,12.8,$0.27,47.41
2017-06-30,13.71,0,0.0
2017-03-31,13.29,$-0.50,0.0
2016-12-31,12.12,$-2.72,0.0
2016-06-30,11.36,$-2.31,0.0
2016-03-31,10.87,$-2.17,0.0
2015-12-31,11.8,$-2.09,0.0
2015-09-30,9.84,$0.03,328.11
2015-06-30,18.28,$0.10,182.85
2015-03-31,19.55,$0.46,42.5
2014-12-31,15.69,$0.46,34.1
