CRISPR Therapeutics AG PE Ratio Historical Data,CRISPR Therapeutics AG PE Ratio Historical Data,CRISPR Therapeutics AG PE Ratio Historical Data,CRISPR Therapeutics AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.29,,0.0
2024-06-30,54.01,$-3.23,0.0
2024-03-31,68.16,$-2.72,0.0
2023-12-31,62.6,$-1.96,0.0
2023-09-30,45.39,$-4.47,0.0
2023-06-30,56.14,$-5.30,0.0
2023-03-31,45.23,$-6.72,0.0
2022-12-31,40.65,$-8.37,0.0
2022-09-30,65.35,$-8.80,0.0
2022-06-30,60.77,$-8.23,0.0
2022-03-31,62.77,$3.61,17.39
2021-12-31,75.78,$4.42,17.14
2021-09-30,111.93,$4.76,23.51
2021-06-30,161.89,$5.11,31.68
2021-03-31,121.85,$-5.63,0.0
2020-12-31,153.11,$-5.27,0.0
2020-09-30,83.64,$-3.26,0.0
2020-06-30,73.49,$0.46,159.76
2020-03-31,42.41,$0.75,56.55
2019-12-31,60.91,$0.97,62.79
2019-09-30,40.99,$-0.46,0.0
2019-06-30,47.1,$-3.68,0.0
2019-03-31,35.72,$-3.29,0.0
2018-12-31,28.57,$-2.36,0.0
2018-06-30,58.76,$-2.06,0.0
2018-03-31,45.71,$-1.80,0.0
2017-12-31,23.48,$-1.72,0.0
2017-09-30,17.87,$-1.32,0.0
2017-06-30,16.02,$-1.77,0.0
