Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,119.57,,13.48
2024-06-30,123.16,$8.87,13.89
2024-03-31,127.95,$8.27,15.47
2023-12-31,110.71,$7.98,13.87
2023-09-30,99.31,$7.96,12.48
2023-06-30,102.19,$7.92,12.9
2023-03-31,91.48,$7.59,12.05
2022-12-31,104.33,$7.18,14.53
2022-09-30,96.11,$6.98,13.77
2022-06-30,86.66,$7.02,12.34
2022-03-31,105.8,$7.09,14.91
2021-12-31,96.32,$7.25,13.29
2021-09-30,88.53,$6.63,13.35
2021-06-30,82.85,$5.61,14.76
2021-03-31,77.94,$4.98,15.65
2020-12-31,60.39,$4.11,14.71
2020-09-30,45.93,$3.88,11.84
2020-06-30,43.23,$4.12,10.49
2020-03-31,39.48,$4.50,8.77
2019-12-31,55.56,$4.91,11.32
2019-09-30,51.0,$4.77,10.68
2019-06-30,52.08,$4.71,11.07
2019-03-31,49.33,$4.54,10.87
2018-12-31,45.25,$4.42,10.24
2018-09-30,55.98,$3.83,14.63
2018-06-30,54.16,$3.53,15.36
2018-03-31,54.01,$3.32,16.27
2017-12-31,53.65,$2.75,19.53
2017-09-30,50.66,$2.89,17.55
2017-06-30,48.07,$2.81,17.13
2017-03-31,45.57,$2.56,17.8
2016-12-31,41.27,$2.63,15.71
2016-09-30,34.57,$2.44,14.17
2016-06-30,29.18,$2.23,13.06
2016-03-31,28.06,$2.26,12.42
2015-12-31,34.03,$2.19,15.51
2015-09-30,29.03,$2.29,12.7
2015-06-30,34.72,$2.33,14.92
2015-03-31,32.99,$2.29,14.43
2014-12-31,33.19,$2.25,14.73
2014-09-30,30.94,$2.21,13.98
2014-06-30,29.21,$2.13,13.69
2014-03-31,32.1,$1.96,16.38
2013-12-31,29.87,$1.85,16.11
2013-09-30,23.77,$1.72,13.82
2013-06-30,24.44,$1.57,15.53
2013-03-31,26.13,$1.55,16.89
2012-12-31,21.77,$1.52,14.32
2012-09-30,20.63,$1.47,14.07
2012-06-30,19.21,$1.44,13.34
2012-03-31,20.41,$1.33,15.39
2011-12-31,17.24,$1.42,12.14
2011-09-30,14.39,$1.51,9.51
2011-06-30,17.74,$1.52,11.67
2011-03-31,21.02,$1.61,13.08
2010-12-31,17.91,$1.48,12.1
2010-09-30,13.82,$1.27,10.85
2010-06-30,13.41,$1.13,11.84
2010-03-31,14.46,$1.03,14.0
2009-12-31,12.81,$0.75,17.0
