Energy Fuels Inc PE Ratio Historical Data,Energy Fuels Inc PE Ratio Historical Data,Energy Fuels Inc PE Ratio Historical Data,Energy Fuels Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.64,,0.0
2024-06-30,6.06,$-0.08,0.0
2024-03-31,6.29,$-0.07,0.0
2023-12-31,7.19,$0.63,11.41
2023-09-30,8.22,$0.65,12.65
2023-06-30,6.24,$0.52,12.0
2023-03-31,5.58,$0.44,12.68
2022-12-31,6.21,$-0.37,0.0
2022-09-30,6.12,$-0.04,0.0
2022-06-30,4.91,$-0.03,0.0
2022-03-31,9.15,$0.01,0.0
2021-12-31,7.63,$0.02,381.5
2021-09-30,7.02,$-0.24,0.0
2021-06-30,6.05,$-0.27,0.0
2021-03-31,5.68,$-0.28,0.0
2020-12-31,4.26,$-0.25,0.0
2020-09-30,1.68,$-0.31,0.0
2020-06-30,1.51,$-0.30,0.0
2020-03-31,1.18,$-0.32,0.0
2019-12-31,1.91,$-0.40,0.0
2019-09-30,1.93,$-0.40,0.0
2019-06-30,3.13,$-0.49,0.0
2019-03-31,3.33,$-0.31,0.0
2018-12-31,2.85,$-0.32,0.0
2018-09-30,3.28,$-0.33,0.0
2018-06-30,2.27,$-0.24,0.0
2018-03-31,1.74,$-0.38,0.0
2017-12-31,1.79,$-0.39,0.0
2017-09-30,1.6,$-0.47,0.0
2017-06-30,1.59,$-0.54,0.0
2017-03-31,2.17,$-0.68,0.0
2016-12-31,1.64,$-0.72,0.0
2016-09-30,1.59,$-2.11,0.0
2016-06-30,2.27,$-2.02,0.0
2016-03-31,2.21,$-1.92,0.0
2015-12-31,2.95,$-1.85,0.0
2015-09-30,2.91,$-0.78,0.0
2015-06-30,4.45,$-0.57,0.0
2015-03-31,4.55,$-0.79,0.0
2014-12-31,6.19,$-0.85,0.0
2014-09-30,6.75,$-4.64,0.0
2014-03-31,9.0,$-4.81,0.0
2013-12-31,5.7,$-4.50,0.0
2013-09-30,8.08,$-4.32,0.0
2013-06-30,7.19,$-1.56,0.0
