Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,44.46,,0.0
2024-06-30,38.37,$-1.62,0.0
2024-03-31,37.99,$-1.32,0.0
2023-12-31,35.47,$-1.08,0.0
2023-09-30,27.0,$3.97,6.8
2023-06-30,28.18,$4.32,6.52
2023-03-31,31.06,$4.49,6.92
2022-12-31,38.77,$4.43,8.75
2022-09-30,38.76,$4.36,8.89
2022-06-30,41.79,$4.41,9.48
2022-03-31,49.45,$4.48,11.04
2021-12-31,50.69,$4.47,11.34
2021-09-30,50.4,$4.24,11.89
2021-06-30,47.3,$3.83,12.35
2021-03-31,49.34,$3.34,14.77
2020-12-31,40.21,$3.09,13.01
2020-09-30,31.61,$2.94,10.75
2020-06-30,30.84,$3.10,9.95
2020-03-31,24.98,$3.52,7.1
2019-12-31,45.24,$3.76,12.03
2019-09-30,42.52,$3.98,10.68
2019-06-30,38.77,$4.04,9.6
2019-03-31,36.41,$3.94,9.24
2018-12-31,33.63,$3.91,8.6
2018-09-30,37.38,$3.71,10.08
2018-06-30,38.54,$3.44,11.2
2018-03-31,39.5,$3.22,12.27
2017-12-31,37.46,$2.74,13.67
2017-09-30,35.12,$2.69,13.06
2017-06-30,33.74,$2.68,12.59
2017-03-31,32.99,$2.57,12.83
2016-12-31,34.47,$2.78,12.4
2016-09-30,27.44,$2.70,10.16
2016-06-30,25.7,$2.61,9.85
2016-03-31,23.81,$2.57,9.27
2015-12-31,26.83,$2.57,10.44
2015-09-30,25.09,$2.69,9.33
2015-06-30,28.21,$2.76,10.22
2015-03-31,27.1,$2.72,9.96
2014-12-31,26.86,$2.74,9.8
2014-09-30,25.54,$2.73,9.35
2014-06-30,26.88,$2.39,11.25
2014-03-31,27.21,$2.58,10.55
2013-12-31,25.13,$2.19,11.47
2013-09-30,22.57,$2.15,10.5
2013-06-30,22.51,$2.44,9.22
2013-03-31,20.7,$2.39,8.66
2012-12-31,18.93,$2.70,7.01
2012-09-30,21.44,$2.54,8.44
2012-06-30,19.82,$2.40,8.26
2012-03-31,20.03,$2.12,9.45
2011-12-31,15.97,$1.83,8.72
2011-09-30,13.44,$1.58,8.5
2011-06-30,16.81,$1.36,12.36
2011-03-31,17.08,$1.22,14.0
2010-12-31,16.27,$1.17,13.91
2010-09-30,14.81,$1.14,12.99
2010-06-30,16.09,$1.07,15.04
2010-03-31,19.72,$0.97,20.33
2009-12-31,15.36,$1.18,13.02
