Coty PE Ratio Historical Data,Coty PE Ratio Historical Data,Coty PE Ratio Historical Data,Coty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.82,,97.75
2024-06-30,10.02,$0.08,125.25
2024-03-31,11.96,$0.23,52.0
2023-12-31,12.42,$0.35,35.49
2023-09-30,10.97,$0.42,26.12
2023-06-30,12.29,$0.57,21.56
2023-03-31,12.06,$0.20,60.3
2022-12-31,8.56,$0.14,61.14
2022-09-30,6.32,$0.10,63.2
2022-06-30,8.01,$0.08,100.13
2022-03-31,8.99,$0.15,59.93
2021-12-31,10.5,$0.07,150.0
2021-09-30,7.86,$-0.52,0.0
2021-06-30,9.34,$-0.41,0.0
2021-03-31,9.01,$-1.15,0.0
2020-12-31,7.02,$-1.49,0.0
2020-09-30,2.7,$-1.16,0.0
2020-06-30,4.47,$-5.12,0.0
2020-03-31,5.16,$-4.13,0.0
2019-12-31,11.13,$-5.05,0.0
2019-06-30,12.96,$-5.04,0.0
2019-03-31,11.01,$-1.56,0.0
2018-12-31,6.21,$-1.47,0.0
2018-09-30,11.72,$-0.29,0.0
2018-06-30,13.03,$-0.12,0.0
2019-09-30,10.29,$0.09,114.31
2018-03-31,16.76,$-0.39,0.0
2017-12-31,18.1,$-0.51,0.0
2017-09-30,14.93,$-0.60,0.0
2017-06-30,16.82,$-0.57,0.0
2017-03-31,16.15,$-0.25,0.0
2016-12-31,16.2,$-0.11,0.0
2016-09-30,20.65,$0.08,258.18
2016-06-30,22.62,$0.42,53.85
2016-03-31,24.22,$0.56,43.25
2015-12-31,22.3,$0.85,26.24
2015-09-30,23.55,$0.95,24.79
2015-06-30,27.55,$0.64,43.05
2015-03-31,20.92,$0.54,38.73
2014-12-31,17.81,$-0.33,0.0
2014-09-30,14.26,$-0.47,0.0
2014-06-30,14.76,$-0.26,0.0
2014-03-31,12.91,$-0.37,0.0
