Cars PE Ratio Historical Data,Cars PE Ratio Historical Data,Cars PE Ratio Historical Data,Cars PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.97,,43.16
2024-06-30,19.7,$0.37,53.24
2024-03-31,17.18,$1.57,10.94
2023-12-31,18.97,$1.73,10.97
2023-09-30,16.86,$1.76,9.58
2023-06-30,19.82,$1.65,12.01
2023-03-31,19.3,$0.36,53.61
2022-12-31,13.77,$0.10,137.7
2022-09-30,11.5,$-0.02,0.0
2022-06-30,9.43,$0.10,94.3
2021-12-31,16.09,$0.10,160.9
2021-09-30,12.65,$0.29,43.62
2021-06-30,14.33,$0.08,179.13
2021-03-31,12.96,$-0.37,0.0
2020-12-31,11.3,$-12.21,0.0
2020-09-30,8.08,$-12.37,0.0
2020-06-30,5.76,$-18.57,0.0
2020-03-31,4.3,$-18.29,0.0
2019-12-31,12.22,$-6.66,0.0
2019-09-30,8.98,$-6.46,0.0
2019-06-30,19.72,$0.15,131.47
2019-03-31,22.8,$0.42,54.29
2018-12-31,21.5,$0.56,38.39
2018-09-30,27.61,$2.53,10.91
2018-06-30,28.39,$2.59,10.96
2018-03-31,28.33,$2.76,10.26
2017-12-31,28.84,$2.81,10.26
