Antero Resources PE Ratio Historical Data,Antero Resources PE Ratio Historical Data,Antero Resources PE Ratio Historical Data,Antero Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.3,,101.11
2024-06-30,32.63,$0.27,120.85
2024-03-31,29.0,$0.20,145.0
2023-12-31,22.68,$0.77,29.45
2023-09-30,25.38,$2.78,9.13
2023-06-30,23.03,$4.44,5.19
2023-03-31,23.09,$7.01,3.29
2022-12-31,30.99,$5.82,5.32
2022-09-30,30.53,$6.16,4.96
2022-06-30,30.65,$2.69,11.39
2022-03-31,30.53,$-1.30,0.0
2021-12-31,17.5,$-0.85,0.0
2021-09-30,18.81,$-3.29,0.0
2021-06-30,15.03,$-3.53,0.0
2021-03-31,10.2,$-3.56,0.0
2020-12-31,5.45,$-4.70,0.0
2020-09-30,2.75,$-6.52,0.0
2020-06-30,2.54,$-7.39,0.0
2020-03-31,0.71,$-5.52,0.0
2019-12-31,2.85,$-4.72,0.0
2019-09-30,3.02,$-3.60,0.0
2019-06-30,5.53,$-1.17,0.0
2018-12-31,9.39,$-1.26,0.0
2018-09-30,17.71,$0.67,26.43
2018-06-30,21.35,$1.21,17.64
2018-03-31,19.85,$1.21,16.4
2017-12-31,19.0,$1.14,16.67
2019-03-31,8.83,$0.45,19.62
2017-09-30,19.9,$-1.15,0.0
2017-06-30,21.61,$0.05,432.2
2017-03-31,22.81,$-2.05,0.0
2016-12-31,23.65,$-2.92,0.0
2016-09-30,26.95,$-0.80,0.0
2016-06-30,25.98,$0.36,72.17
2016-03-31,24.87,$1.96,12.69
2015-12-31,21.8,$3.47,6.28
2015-09-30,21.16,$5.22,4.05
2015-06-30,34.34,$4.07,8.44
2015-03-31,35.32,$4.43,7.97
2014-12-31,40.58,$2.58,15.73
2014-09-30,54.89,$-0.59,0.0
