Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,44.78,,8.13
2024-06-30,47.4,$5.51,8.6
2024-03-31,49.8,$5.24,9.5
2023-12-31,44.55,$5.83,7.64
2023-09-30,46.12,$5.85,7.88
2023-06-30,46.29,$7.31,6.33
2023-03-31,47.76,$9.17,5.21
2022-12-31,57.02,$9.12,6.25
2022-09-30,54.5,$9.52,5.73
2022-06-30,48.85,$7.88,6.2
2022-03-31,51.53,$5.33,9.67
2021-12-31,37.74,$4.17,9.05
2021-09-30,29.83,$1.67,17.86
2021-06-30,24.1,$0.18,133.9
2021-03-31,17.83,$-5.02,0.0
2020-12-31,12.75,$-7.04,0.0
2020-09-30,7.58,$-6.50,0.0
2020-03-31,5.3,$-5.06,0.0
2019-12-31,19.69,$-0.98,0.0
2019-09-30,18.18,$3.20,5.68
2019-06-30,21.47,$1.15,18.67
2019-03-31,23.67,$5.10,4.64
2018-12-31,16.86,$5.01,3.37
2020-06-30,8.78,$2.15,4.08
2018-09-30,29.79,$4.28,6.96
2018-06-30,32.72,$-0.43,0.0
2018-03-31,23.62,$1.20,19.68
2017-12-31,30.7,$2.65,11.59
2017-09-30,27.18,$2.93,9.28
2017-06-30,23.63,$4.39,5.38
2017-03-31,30.78,$0.55,55.96
2016-12-31,33.65,$-6.96,0.0
2016-09-30,32.46,$-18.71,0.0
2016-06-30,26.63,$-29.24,0.0
2016-03-31,20.13,$-33.14,0.0
2015-12-31,23.25,$-35.58,0.0
2015-09-30,26.75,$-25.47,0.0
2015-06-30,42.65,$-14.36,0.0
2015-03-31,43.07,$-5.78,0.0
2014-12-31,43.53,$3.89,11.19
2014-09-30,48.28,$5.41,8.92
2014-06-30,56.03,$3.99,14.04
2014-03-31,47.08,$4.03,11.68
2013-12-31,43.37,$-0.06,0.0
2013-09-30,40.34,$-1.46,0.0
2013-06-30,36.1,$-4.31,0.0
2013-03-31,39.1,$-4.81,0.0
2012-12-31,35.94,$-0.54,0.0
2012-09-30,41.62,$1.60,26.01
2012-06-30,39.77,$5.90,6.74
2012-03-31,48.6,$11.20,4.34
2011-12-31,42.25,$11.20,3.77
2011-09-30,37.68,$11.24,3.35
2011-06-30,53.42,$13.53,3.95
2011-03-31,62.07,$8.63,7.19
2010-12-31,53.0,$9.15,5.79
2010-09-30,43.61,$8.98,4.86
2010-06-30,40.93,$4.89,8.37
2009-12-31,49.16,$-5.61,0.0
2009-09-30,44.92,$-4.44,0.0
