Alpha And Omega Semiconductor PE Ratio Historical Data,Alpha And Omega Semiconductor PE Ratio Historical Data,Alpha And Omega Semiconductor PE Ratio Historical Data,Alpha And Omega Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.45,,0.0
2024-06-30,37.37,$-0.39,0.0
2024-03-31,22.04,$-0.34,0.0
2023-12-31,26.06,$-0.63,0.0
2023-09-30,29.84,$-0.32,0.0
2023-06-30,32.8,$0.37,88.65
2023-03-31,26.95,$0.94,28.67
2022-12-31,28.57,$2.73,10.47
2022-09-30,30.76,$16.06,1.92
2022-06-30,33.34,$16.03,2.08
2022-03-31,54.65,$16.21,3.37
2021-12-31,60.56,$15.68,3.86
2021-09-30,31.37,$2.61,12.02
2021-06-30,30.39,$2.12,14.33
2021-03-31,32.7,$1.41,23.19
2020-12-31,23.64,$0.57,41.47
2020-09-30,12.82,$0.06,213.67
2020-06-30,10.88,$-0.26,0.0
2020-03-31,6.41,$-0.16,0.0
2019-12-31,13.62,$0.04,340.5
2019-09-30,12.28,$0.02,614.0
2019-06-30,9.34,$0.08,116.75
2019-03-31,11.51,$0.02,575.5
2018-12-31,10.19,$0.15,67.93
2018-09-30,11.63,$0.48,24.23
2018-06-30,14.24,$0.57,24.98
2018-03-31,15.45,$0.70,22.07
2017-12-31,16.36,$0.77,21.25
2017-09-30,16.49,$0.61,27.03
2017-06-30,16.67,$0.56,29.77
2017-03-31,17.19,$0.47,36.57
2016-12-31,21.27,$0.27,78.78
2016-09-30,21.72,$0.09,241.33
2016-06-30,13.93,$-0.14,0.0
2016-03-31,11.85,$-0.34,0.0
2015-12-31,9.19,$-0.44,0.0
2015-09-30,7.79,$-0.42,0.0
2015-06-30,8.74,$-0.31,0.0
2015-03-31,8.91,$-0.21,0.0
2014-12-31,8.85,$-0.18,0.0
2014-09-30,9.4,$-0.12,0.0
2014-06-30,9.27,$-0.13,0.0
2014-03-31,7.36,$-0.27,0.0
2013-12-31,7.71,$-0.66,0.0
2013-09-30,8.41,$-0.53,0.0
2013-06-30,7.64,$-0.23,0.0
2013-03-31,8.88,$0.19,46.74
2012-12-31,8.4,$0.81,10.37
2012-09-30,8.61,$0.73,11.79
2012-06-30,9.15,$0.50,18.3
2012-03-31,9.62,$0.61,15.77
2011-12-31,7.31,$0.90,8.12
2011-09-30,8.21,$1.25,6.57
2011-06-30,13.25,$1.55,8.55
2011-03-31,12.69,$1.55,8.19
