Spyre Therapeutics PE Ratio Historical Data,Spyre Therapeutics PE Ratio Historical Data,Spyre Therapeutics PE Ratio Historical Data,Spyre Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.76,,0.0
2024-06-30,23.51,$-15.45,0.0
2024-03-31,37.93,$-71.34,0.0
2023-12-31,21.52,$-75.14,0.0
2023-09-30,12.25,$-75.59,0.0
2023-06-30,11.26,$-71.00,0.0
2023-03-31,7.25,$-21.00,0.0
2022-12-31,11.25,$-25.25,0.0
2022-09-30,13.15,$-28.50,0.0
2022-06-30,12.63,$-31.50,0.0
2022-03-31,57.5,$-27.25,0.0
2021-12-31,118.75,$-25.00,0.0
2021-09-30,198.75,$-25.75,0.0
2021-06-30,174.0,$-25.25,0.0
2021-03-31,198.0,$-32.75,0.0
2020-12-31,196.75,$-40.00,0.0
2020-09-30,177.25,$-47.75,0.0
2020-06-30,231.25,$-57.00,0.0
2020-03-31,116.5,$-60.75,0.0
2019-12-31,191.0,$-61.25,0.0
2019-09-30,192.25,$-61.00,0.0
2019-06-30,171.25,$-58.00,0.0
2019-03-31,201.25,$-55.75,0.0
2018-12-31,187.25,$-53.25,0.0
2018-09-30,239.25,$-46.75,0.0
2018-06-30,264.5,$-45.25,0.0
2018-03-31,248.0,$-45.50,0.0
2017-12-31,135.25,$-45.00,0.0
2017-09-30,123.24,$-45.75,0.0
2017-06-30,96.25,$-45.50,0.0
2017-03-31,186.25,$-45.25,0.0
