Royal Gold PE Ratio Historical Data,Royal Gold PE Ratio Historical Data,Royal Gold PE Ratio Historical Data,Royal Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,148.45,,40.67
2024-06-30,124.42,$3.65,34.09
2024-03-31,120.7,$3.39,35.6
2023-12-31,119.45,$3.64,32.82
2023-09-30,104.63,$3.55,29.47
2023-06-30,112.57,$3.50,32.16
2023-03-31,126.86,$3.61,35.14
2022-12-31,109.9,$3.64,30.19
2022-09-30,91.15,$2.78,32.79
2022-06-30,103.74,$3.15,32.93
2022-03-31,136.82,$3.31,41.33
2021-12-31,101.27,$3.13,32.36
2021-09-30,91.92,$4.04,22.75
2021-06-30,109.2,$4.60,23.74
2021-03-31,103.0,$3.36,30.65
2020-12-31,101.23,$3.13,32.34
2020-09-30,114.11,$2.85,40.04
2020-06-30,117.79,$2.29,51.43
2020-03-31,82.85,$2.29,36.18
2019-12-31,115.21,$2.14,53.84
2019-09-30,115.87,$1.87,61.96
2019-06-30,96.14,$1.03,93.34
2019-03-31,85.05,$-1.32,0.0
2018-12-31,79.87,$-1.99,0.0
2018-09-30,71.62,$-1.91,0.0
2018-03-31,79.37,$-2.14,0.0
2017-12-31,75.68,$0.57,132.77
2017-09-30,79.07,$1.23,64.29
2017-06-30,71.62,$1.25,57.29
2017-03-31,63.96,$1.25,51.17
2016-12-31,57.63,$-0.15,0.0
2016-09-30,70.44,$-0.35,0.0
2016-06-30,65.33,$-1.50,0.0
2016-03-31,46.37,$-1.50,0.0
2015-12-31,32.63,$-0.08,0.0
2015-09-30,42.03,$-0.41,0.0
2015-06-30,54.84,$0.57,96.21
2015-03-31,56.0,$0.57,98.24
2014-12-31,55.44,$0.50,110.88
2014-09-30,57.04,$0.76,75.05
2014-06-30,66.68,$0.70,95.26
2014-03-31,54.67,$0.70,78.09
2013-12-31,40.22,$0.49,82.08
2013-09-30,42.11,$0.75,56.15
2013-06-30,36.25,$0.93,38.97
2013-03-31,60.99,$0.93,65.58
2012-12-31,69.7,$1.27,54.88
2012-09-30,85.39,$1.27,67.23
2012-06-30,66.93,$1.26,53.12
2012-03-31,55.55,$1.26,44.09
2011-12-31,57.31,$1.17,48.98
2011-09-30,54.45,$1.08,50.41
2011-06-30,49.7,$0.89,55.84
2011-03-31,44.29,$0.76,58.28
2010-12-31,45.98,$0.64,71.85
2010-09-30,41.95,$0.48,87.4
2010-03-31,38.75,$0.27,143.53
2009-12-31,39.41,$0.52,75.79
2009-09-30,38.09,$0.29,131.35
2009-06-30,34.76,$0.12,289.7
