Praxis Precision Medicines PE Ratio Historical Data,Praxis Precision Medicines PE Ratio Historical Data,Praxis Precision Medicines PE Ratio Historical Data,Praxis Precision Medicines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.92,,0.0
2024-06-30,41.36,$-10.25,0.0
2024-03-31,61.02,$-15.86,0.0
2023-12-31,22.28,$-23.66,0.0
2023-09-30,1.71,$-33.73,0.0
2023-06-30,1.15,$-45.43,0.0
2023-03-31,0.81,$-57.87,0.0
2022-12-31,2.38,$-69.87,0.0
2022-09-30,2.27,$-76.31,0.0
2022-06-30,2.45,$-76.91,0.0
2022-03-31,10.21,$-70.32,0.0
2021-12-31,19.7,$-58.32,0.0
2021-09-30,18.49,$-51.87,0.0
