Bain Capital Specialty Finance PE Ratio Historical Data,Bain Capital Specialty Finance PE Ratio Historical Data,Bain Capital Specialty Finance PE Ratio Historical Data,Bain Capital Specialty Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.79,,8.4
2024-06-30,15.88,$2.00,7.94
2024-03-31,14.86,$2.00,7.43
2023-12-31,13.88,$1.90,7.31
2023-09-30,13.72,$2.09,6.57
2023-06-30,11.79,$1.74,6.78
2023-03-31,10.12,$1.56,6.49
2022-12-31,9.79,$1.63,6.0
2022-09-30,9.58,$1.31,7.31
2022-06-30,10.57,$1.50,7.05
2022-03-31,11.81,$1.89,6.25
2021-12-31,11.28,$1.86,6.07
2021-09-30,10.77,$2.12,5.08
2021-06-30,10.85,$2.56,4.24
2021-03-31,10.26,$2.30,4.46
2020-12-31,8.23,$-0.21,0.0
2020-09-30,6.73,$-0.41,0.0
2020-06-30,7.08,$-0.86,0.0
2020-03-31,5.75,$-0.89,0.0
2019-12-31,11.73,$1.89,6.21
2019-09-30,11.04,$1.27,8.69
