International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.65,,20.25
2024-06-30,20.27,$1.02,19.87
2024-03-31,22.38,$1.05,21.32
2023-12-31,26.91,$0.76,35.4
2023-09-30,29.54,$0.48,61.54
2023-06-30,30.88,$1.32,23.39
2023-03-31,25.74,$1.07,24.06
2022-12-31,21.6,$1.35,16.0
2022-09-30,14.92,$1.76,8.48
2022-06-30,17.37,$0.77,22.56
2022-03-31,22.87,$2.28,10.03
2021-12-31,26.54,$2.33,11.39
2021-09-30,23.99,$1.06,22.64
2021-06-30,21.84,$0.13,168.01
2021-03-31,14.63,$-2.73,0.0
2020-12-31,15.44,$-4.38,0.0
2020-09-30,10.15,$-4.02,0.0
2020-06-30,8.11,$-2.89,0.0
2020-03-31,5.42,$-1.50,0.0
2019-12-31,13.15,$-0.09,0.0
2019-09-30,12.32,$0.23,53.56
2019-06-30,11.06,$-0.17,0.0
2019-03-31,10.91,$0.60,18.18
2018-12-31,12.1,$-0.11,0.0
2018-09-30,16.12,$0.78,20.67
2018-06-30,18.79,$-3.28,0.0
2018-03-31,21.43,$-5.50,0.0
2017-12-31,21.11,$-5.26,0.0
2017-09-30,19.41,$-4.50,0.0
2017-06-30,14.32,$-0.56,0.0
2017-03-31,18.35,$1.23,14.92
2016-12-31,19.59,$1.04,18.84
2016-09-30,18.57,$0.26,71.41
2016-06-30,14.14,$-0.32,0.0
2016-03-31,13.63,$-0.86,0.0
2015-12-31,11.95,$-1.27,0.0
2015-06-30,12.79,$-1.20,0.0
2015-03-31,12.54,$-0.29,0.0
2014-12-31,12.42,$0.48,25.88
2014-09-30,12.15,$1.35,9.0
2014-06-30,11.46,$0.95,12.06
