Immatics PE Ratio Historical Data,Immatics PE Ratio Historical Data,Immatics PE Ratio Historical Data,Immatics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.55,,0.0
2024-06-30,11.62,$-0.89,0.0
2024-03-31,10.51,$-1.06,0.0
2023-12-31,10.53,$-1.30,0.0
2023-09-30,11.58,$-1.30,0.0
2023-06-30,11.54,$-1.18,0.0
2023-03-31,6.9,$0.69,10.0
2022-09-30,10.0,$0.67,14.93
2022-06-30,8.71,$0.48,18.15
2022-03-31,7.99,$0.25,31.96
2021-12-31,13.44,$-1.68,0.0
2021-09-30,13.0,$-1.38,0.0
2021-06-30,11.61,$-1.10,0.0
2021-03-31,11.21,$-3.94,0.0
2020-12-31,10.79,$-3.91,0.0
2022-12-31,8.71,$-3.91,0.0
2020-09-30,10.61,$-3.68,0.0
2020-06-30,15.74,$-0.32,0.0
2020-03-31,10.18,$0.13,78.31
2019-12-31,10.4,$0.19,54.74
2019-09-30,10.31,$0.19,54.26
