StoneCo PE Ratio Historical Data,StoneCo PE Ratio Historical Data,StoneCo PE Ratio Historical Data,StoneCo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.97,,8.92
2024-06-30,11.99,$1.23,9.75
2024-03-31,16.61,$1.11,14.96
2023-12-31,18.03,$1.01,17.85
2023-09-30,10.67,$0.64,16.67
2023-06-30,12.74,$0.49,26.0
2023-03-31,9.54,$-0.01,0.0
2022-12-31,9.44,$-0.34,0.0
2022-09-30,9.53,$-0.85,0.0
2022-06-30,7.7,$-1.75,0.0
2022-03-31,11.7,$-1.11,0.0
2021-12-31,16.86,$-0.83,0.0
2021-09-30,34.72,$-0.18,0.0
2021-06-30,67.06,$0.76,88.24
2021-03-31,61.22,$0.53,115.51
2020-12-31,83.92,$0.57,147.23
2020-09-30,52.89,$0.61,86.7
2020-06-30,38.76,$0.62,62.52
2020-03-31,21.77,$0.69,31.55
2019-12-31,39.89,$0.73,54.64
2019-09-30,34.78,$0.64,54.34
