Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.01,,8.34
2024-06-30,14.42,$1.68,8.58
2024-03-31,12.53,$1.62,7.73
2023-12-31,13.0,$1.48,8.78
2023-09-30,11.56,$1.22,9.48
2023-06-30,12.3,$0.98,12.55
2023-03-31,12.13,$1.07,11.34
2022-12-31,10.86,$1.00,10.86
2022-09-30,8.79,$1.24,7.09
2022-06-30,9.63,$1.32,7.3
2022-03-31,10.89,$1.14,9.55
2021-12-31,10.48,$1.25,8.38
2021-09-30,10.99,$1.11,9.9
2021-06-30,12.41,$1.00,12.41
2021-03-31,13.01,$1.00,13.01
2020-12-31,12.75,$1.01,12.62
2020-09-30,9.97,$1.36,7.33
2020-06-30,11.33,$1.38,8.21
2020-03-31,9.24,$1.51,6.12
2019-12-31,14.01,$1.57,8.92
2019-09-30,15.38,$1.17,13.14
2019-06-30,16.62,$1.04,15.98
2019-03-31,16.59,$1.01,16.42
2018-12-31,16.32,$1.05,15.54
2018-09-30,16.95,$1.13,15.0
2018-06-30,17.32,$1.24,13.97
2018-03-31,21.35,$1.22,17.5
2017-12-31,22.03,$1.16,18.99
2017-09-30,20.15,$1.07,18.83
2017-06-30,18.59,$1.01,18.41
2017-03-31,18.28,$0.97,18.85
2016-12-31,16.55,$0.85,19.47
2016-09-30,17.06,$0.77,22.16
2016-06-30,15.28,$0.74,20.64
2016-03-31,13.36,$0.78,17.13
2015-12-31,12.7,$0.85,14.94
2015-09-30,13.2,$1.00,13.2
2015-06-30,11.68,$0.97,12.04
2015-03-31,9.62,$0.92,10.46
2014-12-31,10.82,$0.83,13.03
2014-09-30,12.12,$0.59,20.54
2014-06-30,13.85,$0.68,20.37
2014-03-31,13.1,$0.97,13.5
2013-09-30,18.1,$1.20,15.08
2013-06-30,19.66,$1.23,15.98
2013-03-31,22.87,$1.22,18.75
2012-12-31,21.38,$1.26,16.97
2012-09-30,19.58,$1.28,15.29
2012-06-30,18.73,$1.37,13.67
2012-03-31,19.25,$1.45,13.27
2011-12-31,14.53,$1.58,9.2
2011-09-30,14.18,$1.60,8.87
2011-06-30,16.97,$1.60,10.6
2011-03-31,15.98,$1.57,10.18
2010-12-31,15.99,$1.55,10.32
2010-09-30,15.97,$1.42,11.24
2010-06-30,11.89,$2.47,4.81
2010-03-31,11.29,$2.53,4.46
2013-12-31,15.44,$2.23,6.92
2009-12-31,10.9,$2.12,5.14
