Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.85,,15.31
2024-06-30,53.77,$4.04,13.31
2024-03-31,53.38,$4.06,13.15
2023-12-31,52.1,$3.92,13.29
2023-09-30,48.26,$3.86,12.5
2023-06-30,56.85,$3.73,15.24
2023-03-31,58.95,$3.90,15.11
2022-12-31,65.07,$3.99,16.31
2022-09-30,62.08,$3.99,15.56
2022-06-30,66.2,$4.15,15.95
2022-03-31,69.52,$4.03,17.25
2021-12-31,63.13,$3.75,16.83
2021-09-30,55.63,$3.87,14.38
2021-06-30,57.72,$3.75,15.39
2021-03-31,58.23,$3.68,15.82
2020-12-31,53.1,$3.65,14.55
2020-09-30,45.83,$3.55,12.91
2020-06-30,48.1,$3.16,15.22
2020-03-31,53.84,$3.07,17.54
2019-12-31,65.63,$3.29,19.95
2019-09-30,63.66,$3.65,17.44
2019-06-30,64.44,$3.77,17.09
2019-03-31,60.65,$3.93,15.43
2018-12-31,51.04,$4.66,10.95
2018-09-30,46.85,$4.22,11.1
2018-06-30,48.99,$4.41,11.11
2018-03-31,43.09,$4.41,9.77
2017-12-31,47.27,$3.34,14.15
2017-09-30,53.73,$2.62,20.51
2017-06-30,52.3,$2.38,21.98
2017-03-31,51.2,$1.99,25.73
2016-12-31,46.91,$1.37,34.24
2016-09-30,46.48,$0.74,62.81
2016-06-30,47.52,$0.26,182.77
2016-03-31,45.01,$-0.69,0.0
2015-12-31,34.48,$-0.39,0.0
2015-09-30,30.42,$0.67,45.4
2015-06-30,31.81,$1.49,21.35
2015-03-31,36.45,$2.87,12.7
2014-12-31,38.01,$2.88,13.2
2014-09-30,34.07,$2.53,13.47
2014-06-30,43.36,$2.45,17.7
2014-03-31,40.43,$2.70,14.98
2013-12-31,36.57,$2.59,14.12
2013-09-30,34.47,$2.88,11.97
2013-06-30,33.45,$3.14,10.65
2013-03-31,29.99,$2.14,14.01
2012-12-31,24.52,$1.85,13.25
2012-09-30,23.74,$1.75,13.57
2012-06-30,21.22,$0.70,30.32
2012-03-31,21.87,$1.20,18.22
2011-12-31,21.67,$1.20,18.06
2011-09-30,19.55,$1.45,13.48
2011-06-30,18.97,$2.04,9.3
2011-03-31,20.83,$1.63,12.78
2010-12-31,18.47,$1.76,10.49
2010-09-30,18.98,$1.76,10.78
2010-06-30,17.12,$1.38,12.4
2010-03-31,18.03,$2.24,8.05
2009-12-31,15.61,$2.11,7.4
