Regal Rexnord PE Ratio Historical Data,Regal Rexnord PE Ratio Historical Data,Regal Rexnord PE Ratio Historical Data,Regal Rexnord PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,176.54,,0.0
2024-06-30,134.94,$-0.02,0.0
2024-03-31,179.26,$-0.48,0.0
2023-12-31,147.04,$-0.87,0.0
2023-09-30,141.6,$-0.18,0.0
2023-06-30,152.16,$3.72,40.9
2023-03-31,138.81,$5.36,25.9
2022-12-31,118.05,$7.30,16.17
2022-09-30,137.7,$5.70,24.16
2022-06-30,111.09,$5.60,19.84
2022-03-31,145.15,$5.42,26.78
2021-12-31,165.67,$5.17,32.04
2021-09-30,138.82,$6.47,21.46
2021-06-30,117.27,$6.37,18.41
2021-03-31,125.32,$5.12,24.48
2020-12-31,107.64,$4.64,23.2
2020-09-30,82.07,$4.30,19.09
2020-06-30,76.1,$3.89,19.56
2020-03-31,54.67,$4.75,11.51
2019-12-31,73.99,$5.62,13.17
2019-09-30,62.75,$6.01,10.44
2019-06-30,70.09,$5.99,11.7
2019-03-31,69.97,$5.94,11.78
2018-12-31,59.66,$5.26,11.34
2018-09-30,69.94,$5.13,13.63
2018-06-30,69.16,$5.35,12.93
2018-03-31,61.8,$5.03,12.29
2017-12-31,64.3,$4.74,13.56
2017-09-30,66.09,$4.60,14.37
2017-06-30,68.0,$4.53,15.01
2017-03-31,62.88,$4.61,13.64
2016-12-31,57.37,$4.52,12.69
2016-09-30,49.12,$3.08,15.95
2016-06-30,45.27,$3.17,14.28
2016-03-31,51.64,$3.30,15.65
2015-12-31,47.73,$3.18,15.01
2015-09-30,45.86,$1.00,45.86
2015-06-30,58.73,$0.64,91.77
2015-03-31,64.46,$0.49,131.55
2014-12-31,60.49,$0.64,94.51
2014-09-30,51.53,$2.51,20.53
2014-06-30,62.8,$2.62,23.97
2014-03-31,57.96,$2.51,23.09
2013-12-31,58.6,$2.64,22.2
2013-09-30,53.85,$4.08,13.2
2013-06-30,51.25,$4.21,12.17
2013-03-31,64.26,$4.57,14.06
2012-12-31,55.39,$4.64,11.94
2012-09-30,55.25,$4.74,11.66
2012-06-30,48.67,$4.58,10.63
2012-03-31,51.08,$3.97,12.87
2011-12-31,39.61,$3.80,10.42
2011-09-30,35.14,$3.65,9.63
2011-06-30,51.52,$3.66,14.08
2011-03-31,56.81,$3.85,14.75
2010-12-31,51.25,$3.84,13.35
2010-09-30,44.94,$4.09,10.99
2010-06-30,42.59,$3.77,11.3
2010-03-31,45.24,$3.17,14.27
2009-12-31,39.44,$2.58,15.29
