Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,44.28,,36.0
2024-06-30,48.46,$1.23,39.39
2023-12-31,42.16,$1.27,33.2
2023-09-30,36.78,$1.48,24.85
2023-06-30,39.31,$1.49,26.38
2023-03-31,40.07,$1.54,26.02
2022-12-31,37.09,$1.65,22.48
2024-03-31,46.74,$2.21,21.15
2022-09-30,26.54,$2.63,10.09
2022-06-30,28.25,$3.29,8.59
2022-03-31,47.87,$3.45,13.88
2021-12-31,40.03,$2.89,13.85
2021-09-30,31.14,$2.63,11.84
2021-06-30,35.45,$1.91,18.56
2021-03-31,31.39,$1.21,25.94
2020-12-31,24.8,$0.39,63.6
2020-09-30,14.91,$-0.09,0.0
2020-06-30,11.03,$-0.40,0.0
2020-03-31,6.43,$-0.48,0.0
2019-12-31,12.46,$-0.12,0.0
2019-09-30,9.04,$-0.03,0.0
2019-06-30,10.92,$0.44,24.81
2019-03-31,12.08,$1.08,11.18
2018-12-31,9.62,$1.53,6.29
2018-09-30,12.94,$2.15,6.02
2018-06-30,15.99,$1.96,8.16
2018-03-31,16.24,$1.55,10.47
2017-12-31,17.52,$1.24,14.13
2017-09-30,12.97,$0.74,17.53
2017-06-30,11.1,$0.71,15.63
2017-03-31,12.35,$0.15,82.3
2016-12-31,12.19,$-3.36,0.0
2016-09-30,10.04,$-7.04,0.0
2016-06-30,10.29,$-10.78,0.0
2016-03-31,9.55,$-12.18,0.0
2015-12-31,6.26,$-11.21,0.0
2015-09-30,8.92,$-10.49,0.0
2015-06-30,16.98,$-6.38,0.0
2015-03-31,17.23,$-4.14,0.0
2014-12-31,20.93,$-1.27,0.0
2014-09-30,28.96,$2.16,13.41
2014-06-30,32.12,$2.42,13.27
2014-03-31,28.82,$2.45,11.76
2013-12-31,32.6,$2.64,12.35
2013-09-30,28.31,$2.74,10.33
2013-06-30,23.37,$2.81,8.32
2013-03-31,26.85,$3.06,8.77
2012-12-31,27.5,$3.18,8.65
2012-09-30,31.58,$3.07,10.29
2012-06-30,26.92,$3.31,8.13
2012-03-31,29.8,$4.00,7.45
2011-12-31,28.65,$4.77,6.01
2011-09-30,23.55,$5.73,4.11
2011-06-30,40.73,$5.87,6.94
2011-03-31,42.13,$5.14,8.2
2010-12-31,45.35,$4.57,9.92
2010-09-30,31.86,$4.02,7.93
2010-06-30,21.96,$3.47,6.34
2010-03-31,30.97,$2.82,10.98
2009-12-31,29.71,$2.86,10.41
