YETI Holdings PE Ratio Historical Data,YETI Holdings PE Ratio Historical Data,YETI Holdings PE Ratio Historical Data,YETI Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.53,,18.3
2024-06-30,38.15,$2.16,17.66
2024-03-31,38.55,$2.01,19.18
2023-12-31,51.78,$1.95,26.55
2023-09-30,48.22,$0.73,66.05
2023-06-30,38.84,$0.76,51.11
2023-03-31,40.0,$0.85,47.06
2022-12-31,41.31,$1.02,40.5
2022-09-30,28.52,$2.16,13.2
2022-06-30,43.27,$2.24,19.32
2022-03-31,59.98,$2.34,25.63
2021-12-31,82.83,$2.40,34.51
2021-09-30,85.69,$2.29,37.42
2021-06-30,91.82,$2.27,40.45
2021-03-31,72.21,$2.02,35.75
2020-12-31,68.47,$1.77,38.68
2020-09-30,45.32,$1.11,40.83
2020-06-30,42.73,$0.78,54.78
2020-03-31,19.52,$0.66,29.58
2019-12-31,34.78,$0.59,58.95
2019-09-30,28.0,$0.84,33.33
