Cooper PE Ratio Historical Data,Cooper PE Ratio Historical Data,Cooper PE Ratio Historical Data,Cooper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,105.73,,82.93
2024-07-31,93.33,$1.28,73.2
2024-04-30,89.06,$1.70,52.31
2024-01-31,23.31,$1.46,15.94
2023-10-31,19.48,$1.48,13.19
2023-07-31,24.45,$1.38,17.69
2023-04-30,23.84,$1.45,16.44
2023-01-31,21.81,$1.89,11.55
2022-10-31,17.08,$1.94,8.81
2022-07-31,20.43,$2.16,9.45
2022-04-30,22.56,$4.76,4.74
2022-01-31,24.89,$4.71,5.28
2021-10-31,26.05,$14.81,1.76
2021-07-31,26.35,$14.67,1.8
2021-04-30,25.67,$11.86,2.16
2021-01-31,22.74,$11.33,2.01
2020-10-31,19.93,$1.20,16.57
2020-07-31,17.67,$1.40,12.65
2020-04-30,17.91,$1.72,10.43
2020-01-31,21.67,$2.27,9.53
2019-10-31,18.18,$2.34,7.78
2019-07-31,21.07,$2.24,9.43
2019-04-30,18.11,$2.14,8.45
2019-01-31,17.41,$1.84,9.47
2018-10-31,16.13,$0.70,23.21
2018-07-31,16.27,$0.64,25.62
2018-04-30,14.28,$0.65,21.97
2018-01-31,15.28,$0.87,17.51
2017-10-31,15.0,$1.88,7.98
2017-07-31,15.22,$1.74,8.74
2017-04-30,12.51,$1.67,7.5
2017-01-31,11.52,$1.52,7.59
2016-10-31,10.99,$1.40,7.86
2016-07-31,11.39,$1.28,8.91
2016-04-30,9.55,$1.06,9.03
2016-01-31,8.18,$0.99,8.31
2015-10-31,9.51,$1.04,9.18
2015-07-31,11.04,$1.01,10.99
2015-04-30,11.11,$1.23,9.05
2015-01-31,9.83,$1.33,7.42
2014-10-31,10.22,$1.38,7.41
2014-07-31,10.03,$1.51,6.64
2014-04-30,8.22,$1.51,5.46
2014-01-31,7.75,$1.48,5.23
2013-10-31,8.05,$1.49,5.41
2013-07-31,7.94,$1.57,5.06
2013-04-30,6.88,$1.46,4.71
2013-01-31,6.32,$1.36,4.64
2012-10-31,5.98,$1.27,4.73
2012-07-31,4.69,$1.19,3.95
2012-04-30,5.49,$1.04,5.27
2012-01-31,4.49,$0.95,4.75
2011-10-31,4.31,$0.91,4.77
2011-07-31,4.76,$0.88,5.44
2011-04-30,4.66,$0.90,5.21
2011-01-31,3.57,$0.74,4.84
2010-10-31,3.07,$0.61,5.05
2010-07-31,2.42,$0.52,4.69
2010-04-30,2.42,$0.42,5.75
2010-01-31,2.2,$0.53,4.14
2009-10-31,1.74,$0.55,3.15
