Iovance Biotherapeutics PE Ratio Historical Data,Iovance Biotherapeutics PE Ratio Historical Data,Iovance Biotherapeutics PE Ratio Historical Data,Iovance Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.17,,0.0
2024-06-30,8.02,$-1.67,0.0
2024-03-31,14.82,$-1.80,0.0
2023-12-31,8.13,$-1.88,0.0
2023-09-30,4.55,$-2.07,0.0
2023-06-30,7.04,$-2.24,0.0
2023-03-31,6.11,$-2.40,0.0
2022-12-31,6.39,$-2.48,0.0
2022-09-30,9.58,$-2.47,0.0
2022-06-30,11.04,$-2.39,0.0
2022-03-31,16.65,$-2.29,0.0
2021-12-31,19.09,$-2.22,0.0
2021-09-30,24.66,$-2.06,0.0
2021-06-30,26.02,$-1.91,0.0
2021-03-31,31.66,$-1.85,0.0
2020-12-31,46.4,$-1.89,0.0
2020-09-30,32.92,$-1.92,0.0
2020-06-30,27.45,$-1.92,0.0
2020-03-31,29.94,$-1.83,0.0
2019-12-31,27.68,$-1.58,0.0
2019-09-30,18.2,$-1.35,0.0
2019-06-30,24.52,$-1.31,0.0
2019-03-31,9.51,$-1.27,0.0
2018-12-31,8.85,$-1.28,0.0
2018-09-30,11.25,$-1.37,0.0
2018-06-30,12.8,$-1.36,0.0
2018-03-31,16.9,$-1.39,0.0
2017-12-31,8.0,$-1.41,0.0
2017-09-30,7.75,$-1.30,0.0
2017-06-30,7.35,$-2.10,0.0
2017-03-31,7.45,$-1.96,0.0
2016-12-31,6.95,$-1.77,0.0
2016-09-30,8.23,$-1.72,0.0
2016-06-30,8.1,$-0.73,0.0
2016-03-31,5.08,$-0.64,0.0
2015-12-31,7.72,$-0.64,0.0
2015-09-30,5.76,$-0.44,0.0
2015-06-30,9.17,$-0.28,0.0
2015-03-31,12.11,$-0.14,0.0
2014-12-31,7.87,0,0.0
2014-09-30,7.15,0,0.0
2014-06-30,6.4,0,0.0
2014-03-31,9.44,0,0.0
2013-12-31,10.5,0,0.0
2013-09-30,6.55,0,0.0
2013-06-30,2.0,0,0.0
2013-03-31,6.0,0,0.0
2012-12-31,22.0,0,0.0
2012-09-30,40.0,0,0.0
2012-06-30,45.0,0,0.0
2012-03-31,115.0,0,0.0
2011-12-31,100.0,0,0.0
2011-09-30,100.0,0,0.0
