Jamf Holding PE Ratio Historical Data,Jamf Holding PE Ratio Historical Data,Jamf Holding PE Ratio Historical Data,Jamf Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.47,,0.0
2024-06-30,16.5,$-0.71,0.0
2024-03-31,18.35,$-0.85,0.0
2023-12-31,18.06,$-0.89,0.0
2023-09-30,17.66,$-0.92,0.0
2023-06-30,19.52,$-0.92,0.0
2023-03-31,19.42,$-1.16,0.0
2022-12-31,21.3,$-1.17,0.0
2022-09-30,22.16,$-1.20,0.0
2022-06-30,24.77,$-1.20,0.0
2022-03-31,34.81,$-0.81,0.0
2021-12-31,38.01,$-0.63,0.0
2021-09-30,38.52,$-0.51,0.0
2021-06-30,33.57,$-0.29,0.0
