Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,361.81,,28.47
2024-06-30,330.57,$12.71,26.01
2024-03-31,363.19,$12.18,29.82
2023-12-31,298.2,$16.98,17.56
2023-09-30,283.52,$22.46,12.62
2023-06-30,276.88,$22.62,12.24
2022-12-31,324.01,$21.38,15.15
2022-09-30,270.4,$20.94,12.91
2022-06-30,255.8,$16.21,15.78
2022-03-31,231.61,$16.11,14.38
2021-12-31,220.88,$16.68,13.24
2023-03-31,250.97,$16.59,15.13
2021-09-30,191.61,$23.80,8.05
2021-06-30,225.89,$22.78,9.92
2021-03-31,229.42,$23.26,9.86
2020-12-31,196.74,$23.11,8.51
2020-09-30,160.1,$14.26,11.23
2020-06-30,177.33,$14.05,12.62
2020-03-31,167.44,$13.02,12.86
2019-12-31,193.21,$13.43,14.39
2019-09-30,143.41,$11.38,12.6
2019-06-30,148.86,$10.95,13.59
2019-03-31,151.95,$10.54,14.42
2018-12-31,179.4,$10.70,16.77
2018-09-30,196.71,$11.22,17.53
2018-06-30,160.53,$10.29,15.6
2018-03-31,158.45,$10.15,15.61
2017-12-31,191.79,$8.73,21.97
2017-09-30,176.54,$9.13,19.34
2017-06-30,158.08,$8.68,18.21
2017-03-31,138.34,$7.50,18.45
2016-12-31,125.94,$7.20,17.49
2016-09-30,123.04,$7.37,16.69
2016-06-30,120.84,$7.71,15.67
2016-03-31,129.57,$8.00,16.2
2015-12-31,138.11,$8.04,17.18
2015-09-30,127.44,$8.17,15.6
2015-06-30,152.9,$8.08,18.92
2015-03-31,122.17,$7.94,15.39
2014-12-31,97.1,$7.82,12.42
2014-09-30,85.57,$7.34,11.66
2014-06-30,86.78,$7.28,11.92
2014-03-31,79.0,$6.92,11.42
2013-12-31,82.5,$5.20,15.87
2013-09-30,72.48,$5.32,13.62
2013-06-30,68.36,$4.98,13.73
2013-03-31,58.82,$4.53,12.98
2012-12-31,50.38,$5.61,8.98
2012-09-30,44.45,$5.24,8.48
2012-06-30,41.47,$4.37,9.49
2012-03-31,46.41,$4.56,10.18
2011-12-31,39.55,$4.85,8.15
2011-09-30,39.49,$5.50,7.18
2011-06-30,48.43,$5.89,8.22
2011-03-31,41.69,$5.45,7.65
2010-12-31,34.49,$4.90,7.04
2010-09-30,33.66,$4.40,7.65
2010-06-30,29.22,$4.46,6.55
2010-03-31,34.41,$4.98,6.91
2009-12-31,33.14,$4.72,7.02
