BioMarin Pharmaceutical PE Ratio Historical Data,BioMarin Pharmaceutical PE Ratio Historical Data,BioMarin Pharmaceutical PE Ratio Historical Data,BioMarin Pharmaceutical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.47,,59.89
2024-06-30,82.33,$1.16,70.97
2023-12-31,96.42,$0.88,109.57
2023-09-30,88.48,$0.77,114.91
2023-06-30,86.68,$1.02,84.98
2023-03-31,97.24,$0.69,140.93
2022-12-31,103.49,$0.57,181.56
2024-03-31,87.34,$1.20,72.78
2022-09-30,84.77,$0.42,201.83
2022-06-30,82.87,$0.26,318.73
2022-03-31,77.1,$0.18,428.33
2021-12-31,88.35,$-0.36,0.0
2021-09-30,77.29,$0.08,966.13
2021-06-30,83.44,$4.29,19.45
2021-03-31,75.51,$4.06,18.6
2020-12-31,87.69,$4.41,19.88
2020-09-30,76.08,$4.37,17.41
2020-06-30,123.34,$0.66,186.88
2020-03-31,84.5,$0.61,138.52
2019-12-31,84.55,$-0.15,0.0
2019-09-30,67.4,$-0.26,0.0
2019-06-30,85.65,$-0.63,0.0
2019-03-31,88.83,$-0.51,0.0
2018-12-31,85.15,$-0.45,0.0
2018-09-30,96.97,$-0.72,0.0
2018-06-30,94.2,$-0.72,0.0
2018-03-31,81.07,$-0.84,0.0
2017-12-31,89.17,$-1.11,0.0
2017-09-30,93.07,$-1.07,0.0
2017-06-30,90.82,$-3.61,0.0
2016-12-31,82.84,$-3.93,0.0
2016-09-30,92.52,$-3.01,0.0
2016-06-30,77.8,$-2.84,0.0
2016-03-31,82.48,$-0.83,0.0
2015-12-31,104.76,$-0.81,0.0
2017-03-31,87.78,$-1.63,0.0
2015-09-30,105.32,$-2.01,0.0
2015-06-30,136.78,$-1.36,0.0
2015-03-31,124.62,$-1.08,0.0
2014-12-31,90.4,$-0.92,0.0
2014-09-30,72.16,$-0.88,0.0
2014-06-30,62.21,$-1.31,0.0
2014-03-31,68.21,$-1.24,0.0
2013-12-31,70.35,$-1.28,0.0
2013-09-30,72.17,$-1.28,0.0
2013-06-30,55.74,$-0.94,0.0
2013-03-31,62.26,$-1.05,0.0
2012-12-31,49.2,$-0.95,0.0
2012-09-30,40.26,$-0.75,0.0
2012-06-30,39.58,$-0.87,0.0
2012-03-31,34.25,$-0.65,0.0
2011-12-31,34.38,$-0.48,0.0
2011-09-30,31.87,$-0.36,0.0
2011-06-30,27.21,$1.48,18.39
2011-03-31,25.13,$1.52,16.53
2010-12-31,26.93,$1.57,17.15
2010-09-30,22.35,$1.73,12.92
2010-06-30,18.96,$0.11,172.36
2010-03-31,23.37,$0.13,179.77
2009-12-31,18.81,$-0.01,0.0
