Ellington Financial PE Ratio Historical Data,Ellington Financial PE Ratio Historical Data,Ellington Financial PE Ratio Historical Data,Ellington Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.74,,10.44
2024-06-30,12.08,$1.22,9.9
2024-03-31,11.81,$0.64,18.45
2023-12-31,12.71,$0.90,14.12
2023-09-30,12.47,$1.09,11.44
2023-06-30,13.8,$0.44,31.36
2023-03-31,12.21,$-0.68,0.0
2022-12-31,12.37,$-1.43,0.0
2022-09-30,11.37,$-1.19,0.0
2022-06-30,14.39,$-0.23,0.0
2022-03-31,16.91,$1.60,10.57
2021-12-31,15.87,$2.63,6.04
2021-09-30,16.56,$3.46,4.79
2021-06-30,16.92,$4.11,4.12
2021-03-31,13.82,$4.20,3.29
2020-12-31,12.56,$0.30,41.88
2020-09-30,10.17,$-0.83,0.0
2020-06-30,9.56,$-1.36,0.0
2020-03-31,4.53,$-1.77,0.0
2019-12-31,13.93,$1.79,7.78
2019-09-30,13.43,$1.41,9.52
2019-06-30,13.04,$1.10,11.85
2019-03-31,12.69,$1.36,9.33
2018-12-31,10.52,$1.51,6.97
2018-09-30,10.99,$1.81,6.07
2018-06-30,10.45,$1.78,5.87
2018-03-31,9.67,$1.25,7.73
2017-12-31,9.21,$1.05,8.77
2017-09-30,9.75,$0.87,11.21
2017-06-30,9.73,$0.70,13.9
2017-03-31,9.25,$0.69,13.41
2016-12-31,8.82,$-0.47,0.0
2016-09-30,9.22,$-0.47,0.0
2016-06-30,9.21,$-0.38,0.0
2016-03-31,9.1,$-0.14,0.0
2015-12-31,8.52,$1.12,7.61
2015-09-30,8.83,$1.15,7.68
2015-06-30,8.83,$1.50,5.89
2015-03-31,9.2,$1.92,4.79
2014-12-31,8.93,$2.23,4.0
2014-09-30,9.6,$2.73,3.52
2014-06-30,10.06,$2.72,3.7
2014-03-31,9.67,$2.40,4.03
2013-12-31,8.92,$3.46,2.58
2013-09-30,8.55,$4.07,2.1
2013-06-30,8.39,$5.21,1.61
2013-03-31,8.83,$5.36,1.65
2012-12-31,7.55,$5.32,1.42
2012-09-30,7.43,$4.23,1.76
2012-06-30,6.68,$2.57,2.6
2012-03-31,5.97,$1.85,3.23
2011-12-31,5.14,$0.61,8.42
2011-09-30,5.02,$1.32,3.8
