Fox Factory Holding PE Ratio Historical Data,Fox Factory Holding PE Ratio Historical Data,Fox Factory Holding PE Ratio Historical Data,Fox Factory Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.01,,41.85
2024-06-30,48.19,$0.98,49.17
2024-03-31,52.07,$1.79,29.09
2023-12-31,67.48,$2.85,23.68
2023-09-30,99.08,$4.00,24.77
2023-06-30,108.51,$4.37,24.83
2023-03-31,121.37,$4.69,25.88
2022-12-31,91.23,$4.84,18.85
2022-09-30,79.08,$4.48,17.65
2022-06-30,80.54,$4.31,18.69
2022-03-31,97.95,$4.10,23.89
2021-12-31,170.1,$3.87,43.95
2021-09-30,144.54,$3.73,38.75
2021-06-30,155.66,$3.60,43.24
2021-03-31,127.06,$2.87,44.27
2020-12-31,105.71,$2.55,41.45
2020-09-30,74.33,$2.55,29.15
2020-06-30,82.61,$2.24,36.88
2019-12-31,69.57,$2.38,29.23
2019-09-30,62.24,$2.32,26.83
2019-06-30,82.51,$1.78,46.35
2019-03-31,69.89,$1.81,38.61
2018-12-31,58.87,$1.82,32.35
2020-03-31,42.0,$1.85,22.7
2018-09-30,70.05,$1.71,40.96
2018-06-30,46.55,$1.50,31.03
2018-03-31,34.9,$1.38,25.29
2017-12-31,38.85,$1.10,35.32
2017-09-30,43.1,$1.29,33.41
2017-06-30,35.6,$1.24,28.71
2017-03-31,28.7,$1.13,25.4
2016-12-31,27.75,$0.95,29.21
2016-09-30,22.97,$0.87,26.4
2016-06-30,17.37,$0.79,21.99
2016-03-31,15.81,$0.73,21.66
2015-12-31,16.53,$0.66,25.05
2015-09-30,16.86,$0.56,30.11
2015-06-30,16.08,$0.55,29.24
2015-03-31,15.34,$0.68,22.56
2014-12-31,16.23,$0.74,21.93
2014-09-30,15.5,$0.79,19.62
2014-06-30,17.59,$0.79,22.27
