Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.29,,24.43
2024-06-30,74.25,$3.45,21.52
2024-03-31,80.39,$3.47,23.17
2023-12-31,73.52,$1.27,57.89
2023-09-30,65.21,$2.11,30.91
2023-06-30,67.7,$2.40,28.21
2023-03-31,69.49,$1.78,39.04
2022-12-31,77.7,$3.15,24.67
2022-09-30,74.48,$3.62,20.57
2022-06-30,87.8,$4.84,18.14
2022-03-31,81.36,$6.80,11.96
2021-12-31,75.33,$8.69,8.67
2021-09-30,69.4,$10.10,6.87
2021-06-30,67.8,$11.42,5.94
2021-03-31,72.21,$11.71,6.17
2020-12-31,66.04,$9.16,7.21
2020-09-30,57.84,$7.43,7.78
2020-06-30,63.06,$5.48,11.51
2020-03-31,69.0,$4.38,15.75
2019-12-31,74.77,$6.46,11.57
2019-09-30,81.13,$5.83,13.92
2019-06-30,75.46,$6.70,11.26
2019-03-31,68.52,$6.77,10.12
2018-12-31,63.76,$5.42,11.76
2018-09-30,69.2,$4.95,13.98
2018-06-30,65.41,$4.25,15.39
2018-03-31,58.32,$3.89,14.99
2017-12-31,60.34,$4.08,14.79
2017-09-30,56.71,$4.15,13.67
2017-06-30,50.2,$4.20,11.95
2017-03-31,50.98,$4.22,12.08
2016-12-31,53.08,$4.27,12.43
2016-09-30,47.94,$4.17,11.5
2016-06-30,43.46,$3.74,11.62
2016-03-31,39.8,$2.26,17.61
2015-12-31,38.84,$-0.95,0.0
2015-09-30,36.84,$-0.95,0.0
2015-06-30,38.75,$-0.72,0.0
2015-03-31,39.63,$0.75,52.84
2014-12-31,41.95,$3.91,10.73
2014-09-30,34.93,$3.98,8.78
2014-06-30,32.87,$4.09,8.04
2014-03-31,34.06,$3.86,8.82
2013-12-31,35.23,$3.98,8.85
2013-09-30,32.79,$3.84,8.54
2013-06-30,29.68,$3.64,8.15
2013-03-31,29.74,$3.58,8.31
2012-12-31,27.58,$3.80,7.26
2012-09-30,27.05,$3.49,7.75
2012-06-30,23.64,$3.13,7.55
2012-03-31,23.93,$2.29,10.45
2011-12-31,22.99,$0.90,25.55
2011-09-30,21.22,$1.45,14.64
2011-06-30,23.29,$1.90,12.26
2011-03-31,25.26,$2.63,9.61
2010-12-31,25.88,$3.74,6.92
2010-09-30,22.55,$3.56,6.33
2010-06-30,19.62,$3.64,5.39
2010-03-31,19.75,$3.60,5.49
2009-12-31,18.79,$3.48,5.4
