Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.5,,10.31
2024-06-30,28.06,$3.25,8.63
2024-03-31,28.51,$3.13,9.11
2023-12-31,28.82,$2.91,9.9
2023-09-30,20.51,$2.02,10.15
2023-06-30,18.78,$2.19,8.58
2023-03-31,19.63,$2.26,8.69
2022-12-31,23.06,$2.46,9.38
2022-09-30,23.55,$1.72,13.69
2022-06-30,21.58,$1.71,12.62
2022-03-31,26.64,$1.72,15.49
2021-12-31,26.93,$1.89,14.25
2021-09-30,26.74,$2.76,9.69
2021-06-30,25.26,$2.80,9.02
2021-03-31,28.77,$2.68,10.74
2020-12-31,24.18,$2.12,11.4
2020-09-30,16.96,$2.10,8.08
2020-06-30,19.72,$2.04,9.67
2020-03-31,16.27,$2.00,8.14
2019-12-31,26.75,$2.31,11.58
2019-09-30,25.08,$2.15,11.66
2019-06-30,24.44,$2.19,11.16
2019-03-31,23.61,$2.21,10.68
2018-12-31,21.74,$2.23,9.75
2018-09-30,27.04,$2.17,12.46
2018-06-30,27.11,$1.93,14.05
2018-03-31,26.05,$1.79,14.56
2017-12-31,25.66,$1.66,15.46
2017-09-30,26.03,$1.65,15.78
2017-06-30,24.77,$1.62,15.29
2017-03-31,24.57,$1.58,15.55
2016-12-31,25.22,$1.41,17.89
2016-09-30,18.85,$1.23,15.32
2016-06-30,18.43,$1.19,15.49
2016-03-31,17.31,$1.23,14.07
2015-12-31,19.49,$1.32,14.76
2015-09-30,19.31,$1.40,13.79
2015-06-30,20.92,$1.34,15.62
2015-03-31,18.86,$1.25,15.09
2014-12-31,18.28,$1.22,14.99
2014-09-30,16.36,$1.21,13.52
2014-06-30,19.96,$1.17,17.06
2014-03-31,20.27,$1.07,18.95
2013-12-31,20.65,$0.99,20.86
2013-09-30,16.16,$0.88,18.37
2013-06-30,14.31,$0.87,16.45
2013-03-31,13.17,$0.87,15.14
2012-12-31,11.74,$0.90,13.05
2012-09-30,11.89,$0.88,13.52
2012-06-30,11.71,$0.77,15.21
2012-03-31,10.85,$0.70,15.51
2011-12-31,8.87,$0.44,20.17
2011-09-30,7.06,$0.47,15.03
2011-06-30,9.97,$0.46,21.68
2011-03-31,12.41,$0.16,77.53
2010-12-31,12.72,$0.27,47.1
2010-09-30,11.14,$0.31,35.94
2010-06-30,13.83,$0.44,31.44
2010-03-31,16.03,$1.00,16.03
2009-12-31,17.74,$1.25,14.19
