WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.71,,11.66
2024-06-30,46.86,$4.52,10.37
2024-03-31,44.86,$4.48,10.01
2023-12-31,45.48,$4.40,10.34
2023-09-30,36.0,$4.72,7.63
2023-06-30,37.07,$4.66,7.96
2023-03-31,36.79,$4.48,8.21
2022-12-31,44.21,$3.53,12.53
2022-09-30,45.16,$3.34,13.52
2022-06-30,38.85,$3.32,11.7
2022-03-31,45.03,$4.39,10.26
2021-12-31,48.29,$5.69,8.49
2021-09-30,49.32,$5.71,8.64
2021-06-30,44.64,$5.58,8.0
2021-03-31,47.59,$3.43,13.88
2020-12-31,42.79,$2.28,18.77
2020-09-30,25.61,$1.96,13.07
2020-06-30,27.14,$1.97,13.78
2020-03-31,23.46,$2.79,8.41
2019-12-31,41.29,$2.91,14.19
2019-09-30,41.28,$2.96,13.95
2019-06-30,38.66,$3.14,12.31
2019-03-31,36.13,$3.35,10.79
2018-12-31,35.4,$4.18,8.47
2018-09-30,43.91,$3.23,13.59
2018-06-30,49.53,$2.67,18.55
2018-03-31,44.42,$2.42,18.35
2017-12-31,44.29,$1.85,23.94
2017-09-30,45.04,$2.43,18.54
2017-06-30,41.83,$2.20,19.02
2017-03-31,42.32,$2.14,19.78
2016-12-31,42.62,$2.07,20.59
2016-09-30,33.49,$1.97,17.0
2016-06-30,29.49,$2.07,14.25
2016-03-31,29.74,$1.92,15.49
2015-12-31,29.53,$1.85,15.99
2015-09-30,26.25,$1.83,14.37
2015-06-30,24.87,$1.73,14.4
2015-03-31,22.88,$1.76,13.0
2014-12-31,23.22,$1.93,12.03
2014-09-30,21.58,$1.93,11.16
2014-06-30,22.16,$2.04,10.88
2014-03-31,21.45,$1.96,10.94
2013-12-31,23.24,$1.68,13.81
2013-09-30,18.03,$1.50,12.02
2013-06-30,15.65,$1.34,11.68
2013-03-31,14.49,$1.21,12.01
2012-12-31,12.56,$1.09,11.56
2012-09-30,12.23,$1.04,11.8
2012-06-30,11.94,$0.92,13.03
2012-03-31,12.08,$0.84,14.32
2011-12-31,10.56,$0.75,14.02
2011-09-30,9.25,$0.59,15.58
2011-06-30,11.57,$0.67,17.27
2011-03-31,13.71,$0.61,22.47
2010-12-31,13.77,$0.47,29.3
2010-09-30,10.85,$0.39,27.83
2010-06-30,10.36,$0.05,207.26
2010-03-31,11.22,$-0.24,0.0
2009-12-31,7.34,$-0.10,0.0
