Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.72,,10.83
2024-06-30,100.45,$9.67,10.39
2024-03-31,115.38,$7.26,15.89
2023-12-31,115.56,$8.71,13.27
2023-09-30,124.94,$-29.54,0.0
2023-06-30,137.24,$-28.47,0.0
2023-03-31,120.2,$-36.64,0.0
2022-12-31,127.17,$-28.04,0.0
2022-09-30,119.78,$6.21,19.29
2022-06-30,136.19,$11.12,12.25
2022-03-31,150.4,$26.89,5.59
2021-12-31,202.48,$28.37,7.14
2021-09-30,174.84,$31.24,5.6
2021-06-30,185.81,$30.00,6.19
2021-03-31,186.69,$21.40,8.72
2020-12-31,151.91,$17.00,8.94
2020-09-30,153.77,$13.75,11.18
2020-06-30,107.59,$13.05,8.24
2020-03-31,70.48,$13.54,5.21
2019-12-31,120.1,$18.44,6.51
2019-09-30,127.89,$16.56,7.72
2019-06-30,113.97,$14.21,8.02
2019-03-31,105.42,$3.67,28.72
2018-12-31,84.09,$-2.34,0.0
2018-09-30,92.5,$-8.67,0.0
2018-06-30,112.88,$-8.17,0.0
2018-03-31,117.36,$3.85,30.48
2017-12-31,128.38,$4.56,28.15
2017-09-30,139.47,$10.61,13.15
2017-06-30,143.96,$9.99,14.41
2017-03-31,127.94,$11.62,11.01
2016-12-31,134.98,$11.53,11.71
2016-09-30,119.68,$11.45,10.45
2016-06-30,122.31,$11.30,10.82
2016-03-31,131.58,$9.36,14.06
2015-12-31,106.53,$9.82,10.85
2015-09-30,106.21,$8.56,12.41
2015-06-30,124.14,$8.49,14.62
2015-03-31,144.26,$8.53,16.91
2014-12-31,137.84,$8.17,16.87
2014-09-30,103.19,$9.41,10.97
2014-06-30,98.15,$8.95,10.97
2014-03-31,104.83,$9.14,11.47
2013-12-31,109.54,$10.24,10.7
2013-09-30,101.82,$9.50,10.72
2013-06-30,79.13,$8.02,9.87
2013-03-31,81.58,$7.01,11.64
2012-12-31,69.75,$5.06,13.79
2012-09-30,56.54,$6.16,9.18
2012-06-30,41.43,$7.49,5.53
2012-03-31,51.65,$3.96,13.04
2011-12-31,31.68,$4.96,6.39
2011-09-30,33.0,$4.53,7.28
2011-06-30,53.31,$3.28,16.25
2011-03-31,55.63,$8.02,6.94
2010-12-31,57.58,$7.98,7.22
2010-09-30,52.18,$7.03,7.42
2010-06-30,56.28,$7.16,7.86
2010-03-31,55.68,$5.56,10.01
2009-12-31,51.21,$4.34,11.8
