AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,167.89,,35.27
2024-06-30,140.36,$4.76,29.49
2024-03-31,143.02,$4.66,30.69
2023-12-31,122.48,$4.25,28.82
2023-09-30,123.47,$4.21,29.33
2023-06-30,114.02,$3.76,30.32
2023-03-31,115.95,$3.47,33.41
2022-12-31,107.54,$3.58,30.04
2022-09-30,92.57,$3.54,26.15
2022-06-30,100.17,$3.43,29.2
2022-03-31,113.65,$3.29,34.54
2021-12-31,118.08,$3.60,32.8
2021-09-30,114.72,$3.54,32.41
2021-06-30,134.98,$3.79,35.61
2021-03-31,135.43,$3.61,37.52
2020-12-31,130.53,$3.21,40.66
2020-09-30,107.6,$3.15,34.16
2020-06-30,106.12,$3.05,34.79
2020-03-31,94.03,$3.54,26.56
2019-12-31,108.88,$3.66,29.75
2019-09-30,111.2,$3.55,31.33
2019-06-30,116.4,$3.30,35.27
2019-03-31,99.27,$3.04,32.65
2018-12-31,87.78,$3.00,29.26
2018-09-30,100.19,$3.15,31.81
2018-06-30,86.55,$3.38,25.61
2018-03-31,82.97,$3.53,23.51
2017-12-31,79.4,$3.42,23.22
2017-09-30,79.14,$3.42,23.14
2017-06-30,79.36,$3.41,23.27
2017-03-31,70.06,$3.31,21.17
2016-12-31,66.55,$3.17,20.99
2016-09-30,69.82,$3.08,22.67
2016-06-30,71.11,$3.09,23.01
2016-03-31,70.19,$3.08,22.79
2015-12-31,64.75,$3.11,20.82
2015-09-30,58.55,$3.06,19.14
2015-06-30,56.35,$2.96,19.04
2015-03-31,55.88,$2.85,19.61
2014-12-31,58.55,$2.86,20.47
2014-09-30,52.93,$2.77,19.11
2014-06-30,58.17,$2.71,21.47
2014-03-31,57.14,$2.65,21.56
2013-12-31,58.39,$2.53,23.08
2013-09-30,51.58,$2.51,20.55
2013-06-30,47.15,$2.46,19.17
2013-03-31,48.77,$2.34,20.84
2012-12-31,40.38,$2.39,16.9
2012-09-30,43.56,$2.44,17.85
2012-06-30,42.82,$2.54,16.86
2012-03-31,45.75,$2.67,17.14
2011-12-31,43.4,$2.67,16.25
2011-09-30,36.99,$2.69,13.75
2011-06-30,43.16,$2.65,16.29
2011-03-31,41.19,$2.58,15.96
2010-12-31,38.94,$2.50,15.58
2010-09-30,37.23,$2.43,15.32
2010-06-30,30.71,$2.23,13.77
2010-03-31,31.84,$1.97,16.16
2009-12-31,28.8,$1.79,16.09
