HNI PE Ratio Historical Data,HNI PE Ratio Historical Data,HNI PE Ratio Historical Data,HNI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.54,,23.14
2024-06-30,44.74,$2.40,18.64
2024-03-31,44.52,$1.35,32.98
2023-12-31,40.96,$1.02,40.16
2023-09-30,33.64,$0.93,36.17
2023-06-30,27.09,$1.64,16.52
2023-03-31,26.45,$2.66,9.94
2022-12-31,26.73,$2.95,9.06
2022-09-30,24.66,$2.75,8.97
2022-06-30,31.98,$1.67,19.15
2022-03-31,33.87,$1.34,25.27
2021-12-31,38.15,$1.35,28.26
2021-09-30,33.07,$1.68,19.68
2021-06-30,39.27,$1.96,20.04
2021-03-31,35.09,$1.86,18.87
2020-12-31,30.31,$0.96,31.57
2020-09-30,27.37,$1.54,17.77
2020-06-30,26.41,$1.90,13.9
2020-03-31,21.44,$1.97,10.89
2019-12-31,31.65,$2.55,12.41
2019-09-30,29.76,$2.18,13.65
2019-06-30,29.37,$2.00,14.68
2019-03-31,29.87,$2.06,14.5
2018-12-31,28.96,$2.10,13.79
2018-09-30,35.89,$2.14,16.77
2018-06-30,29.97,$2.09,14.34
2018-03-31,28.85,$1.98,14.57
2017-12-31,30.61,$2.16,14.17
2017-09-30,32.63,$2.13,15.32
2017-06-30,31.12,$1.93,16.12
2016-12-31,43.1,$1.88,22.92
2016-09-30,30.51,$2.35,12.98
2016-06-30,35.45,$1.72,20.61
2016-03-31,29.67,$1.98,14.99
2015-12-31,27.1,$2.24,12.1
2017-03-31,35.73,$1.72,20.78
2015-09-30,32.04,$1.77,18.1
2015-06-30,38.0,$1.61,23.6
2015-03-31,40.76,$1.30,31.36
2014-12-31,37.54,$1.35,27.81
2014-09-30,26.32,$1.69,15.57
2014-06-30,28.41,$1.56,18.21
2014-03-31,26.37,$1.60,16.48
2013-12-31,27.82,$1.39,20.01
2013-09-30,25.76,$1.28,20.12
2013-06-30,25.52,$1.20,21.26
2013-03-31,24.94,$1.10,22.67
2012-12-31,20.97,$1.07,19.6
2012-09-30,17.64,$1.08,16.33
2012-06-30,17.65,$1.10,16.04
2012-03-31,18.82,$1.05,17.92
2011-12-31,17.54,$1.01,17.37
2011-09-30,12.73,$0.88,14.47
2011-06-30,16.51,$0.67,24.64
2011-03-31,20.55,$0.67,30.67
2010-12-31,20.16,$0.47,42.9
2010-09-30,18.43,$0.59,31.24
2010-06-30,17.53,$0.22,79.67
2009-12-31,17.26,$-0.15,0.0
2009-09-30,14.62,$-0.04,0.0
