Tri Pointe Homes PE Ratio Historical Data,Tri Pointe Homes PE Ratio Historical Data,Tri Pointe Homes PE Ratio Historical Data,Tri Pointe Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.21,,10.5
2024-06-30,37.25,$4.40,8.47
2024-03-31,38.66,$3.75,10.31
2023-12-31,35.4,$3.45,10.26
2023-09-30,27.35,$4.07,6.72
2023-06-30,32.86,$4.76,6.9
2023-03-31,25.32,$5.49,4.61
2022-12-31,18.59,$5.57,3.34
2022-09-30,15.11,$4.92,3.07
2022-06-30,16.87,$4.64,3.64
2022-03-31,20.08,$4.31,4.66
2021-12-31,27.89,$4.09,6.82
2021-09-30,21.02,$3.68,5.71
2021-06-30,21.43,$3.12,6.87
2021-03-31,20.36,$2.55,7.98
2020-12-31,17.25,$2.20,7.84
2020-09-30,18.14,$2.13,8.52
2020-06-30,14.69,$1.96,7.49
2020-03-31,8.77,$1.71,5.13
2019-12-31,15.58,$1.47,10.6
2019-09-30,15.04,$1.32,11.39
2019-06-30,11.97,$1.31,9.14
2019-03-31,12.64,$1.55,8.15
2018-12-31,10.93,$1.83,5.97
2018-09-30,12.4,$1.62,7.65
2018-06-30,16.36,$1.67,9.8
2018-03-31,16.43,$1.46,11.25
2017-12-31,17.92,$1.23,14.57
2017-09-30,13.81,$1.10,12.55
2017-06-30,13.19,$0.84,15.7
2017-03-31,12.54,$1.09,11.5
2016-12-31,11.48,$1.22,9.41
2016-09-30,13.18,$1.38,9.55
2016-06-30,11.82,$1.47,8.04
2016-03-31,11.78,$1.35,8.73
2015-12-31,12.67,$1.26,10.06
2015-09-30,13.09,$1.00,13.09
2015-06-30,15.3,$0.76,20.13
2015-03-31,15.43,$0.61,25.3
2014-12-31,15.25,$0.66,23.11
2014-09-30,12.94,$0.66,19.61
2014-06-30,15.72,$0.66,23.82
2014-03-31,16.23,$0.48,33.81
2013-12-31,19.93,$0.49,40.67
