Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.22,,12.72
2024-06-30,22.85,$2.14,10.68
2024-03-31,24.1,$2.24,10.76
2023-12-31,27.39,$2.45,11.18
2023-09-30,20.88,$1.98,10.54
2023-06-30,22.28,$1.92,11.61
2023-03-31,23.83,$1.74,13.7
2022-12-31,28.39,$1.47,19.31
2022-09-30,28.06,$1.41,19.9
2022-06-30,25.4,$1.48,17.16
2022-03-31,29.47,$1.48,19.91
2021-12-31,27.45,$1.46,18.8
2021-09-30,24.86,$1.89,13.15
2021-06-30,25.61,$1.56,16.42
2021-03-31,28.67,$1.17,24.51
2020-12-31,23.71,$1.06,22.37
2020-09-30,15.13,$1.15,13.15
2020-06-30,19.32,$1.41,13.7
2020-03-31,16.27,$1.89,8.61
2019-12-31,28.34,$2.01,14.1
2019-09-30,25.31,$2.07,12.23
2019-06-30,25.45,$2.07,12.3
2019-03-31,29.27,$1.94,15.09
2018-12-31,26.42,$1.89,13.98
2018-09-30,31.93,$1.41,22.65
