Simpson Manufacturing PE Ratio Historical Data,Simpson Manufacturing PE Ratio Historical Data,Simpson Manufacturing PE Ratio Historical Data,Simpson Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,192.25,,24.68
2024-06-30,168.0,$7.79,21.57
2024-03-31,204.25,$7.98,25.6
2023-12-31,196.8,$8.26,23.83
2023-09-30,148.64,$8.33,17.84
2023-06-30,137.15,$7.96,17.23
2023-03-31,108.3,$7.62,14.21
2022-12-31,87.33,$7.75,11.27
2022-09-30,76.98,$8.01,9.61
2022-06-30,98.54,$7.65,12.88
2022-03-31,106.54,$7.15,14.9
2021-12-31,135.63,$6.13,22.13
2021-09-30,104.08,$5.20,20.02
2021-06-30,107.46,$5.04,21.32
2021-03-31,100.7,$4.60,21.89
2020-12-31,90.31,$4.27,21.15
2020-09-30,93.9,$4.22,22.25
2020-06-30,81.1,$3.65,22.22
2020-03-31,59.36,$3.31,17.93
2019-12-31,76.84,$2.98,25.79
2019-09-30,66.03,$2.69,24.55
2019-06-30,63.04,$2.67,23.61
2019-03-31,56.01,$2.73,20.52
2018-12-31,50.95,$2.77,18.39
2018-09-30,67.99,$2.70,25.18
2018-06-30,58.15,$2.34,24.85
2018-03-31,53.65,$1.99,26.96
2017-12-31,53.29,$1.93,27.61
2017-09-30,45.33,$2.02,22.44
2017-06-30,40.21,$2.05,19.61
2017-03-31,39.47,$2.00,19.74
2016-12-31,39.91,$1.86,21.46
2016-09-30,39.93,$1.80,22.18
2016-06-30,36.15,$1.62,22.32
2016-03-31,34.38,$1.51,22.77
2015-12-31,30.61,$1.37,22.34
2015-09-30,30.02,$1.28,23.45
2015-06-30,30.33,$1.26,24.07
2015-03-31,33.18,$1.25,26.54
2014-12-31,30.47,$1.30,23.44
2014-09-30,25.67,$1.25,20.54
2014-06-30,31.75,$1.24,25.61
2014-03-31,30.74,$1.20,25.62
2013-12-31,31.96,$1.05,30.44
2013-09-30,28.13,$1.01,27.85
2013-06-30,25.3,$0.87,29.08
2013-03-31,26.32,$0.82,32.1
2012-12-31,28.2,$0.87,32.41
2012-09-30,24.31,$0.85,28.6
2012-06-30,24.96,$0.98,25.47
2012-03-31,27.16,$1.04,26.12
2011-12-31,28.24,$1.03,27.42
2011-09-30,20.82,$0.84,24.78
2011-06-30,24.83,$0.79,31.44
2011-03-31,24.38,$0.54,45.16
2010-12-31,25.5,$0.59,43.22
2010-09-30,21.19,$0.62,34.17
2010-06-30,20.09,$0.53,37.91
2010-03-31,22.64,$0.61,37.12
2009-12-31,21.85,$0.25,87.4
