Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,41.78,,15.65
2024-06-30,40.58,$2.67,15.2
2024-03-31,40.63,$2.68,15.16
2023-12-31,35.89,$3.15,11.39
2023-09-30,30.21,$4.96,6.09
2023-06-30,34.04,$5.07,6.71
2022-12-31,34.93,$5.06,6.9
2022-09-30,33.09,$4.61,7.18
2022-06-30,43.68,$4.61,9.47
2022-03-31,43.31,$4.92,8.8
2021-12-31,43.67,$5.23,8.35
2023-03-31,35.02,$5.39,6.5
2021-09-30,44.86,$5.33,8.42
2021-06-30,46.01,$4.83,9.53
2021-03-31,47.24,$4.66,10.14
2020-12-31,47.22,$4.64,10.18
2020-09-30,47.31,$4.48,10.56
2019-12-31,47.28,$4.65,10.17
2019-09-30,46.0,$3.89,11.83
2019-06-30,43.08,$3.77,11.43
2019-03-31,44.13,$4.01,11.01
2018-12-31,41.52,$3.79,10.96
2020-06-30,43.35,$4.43,9.79
2018-09-30,39.0,$7.86,4.96
2018-06-30,36.33,$7.56,4.81
2018-03-31,34.1,$7.63,4.47
2017-12-31,37.32,$7.36,5.07
2017-09-30,34.48,$3.90,8.84
2017-06-30,30.71,$3.90,7.87
2017-03-31,33.12,$3.00,11.04
2016-12-31,35.88,$3.22,11.14
2016-09-30,34.54,$3.44,10.04
2016-06-30,36.74,$3.54,10.38
2016-03-31,35.21,$4.41,7.98
2015-12-31,29.72,$4.37,6.8
2015-09-30,27.62,$2.51,11.01
2015-06-30,29.25,$2.41,12.14
2015-03-31,30.18,$2.38,12.68
2014-12-31,28.69,$2.51,11.43
2014-09-30,30.32,$4.81,6.3
2014-06-30,29.36,$4.70,6.25
2014-03-31,28.23,$4.47,6.32
2013-12-31,28.85,$4.00,7.21
2013-09-30,27.09,$0.76,35.65
2013-06-30,28.93,$0.54,53.57
2013-03-31,27.95,$0.40,69.88
2012-12-31,24.32,$0.31,78.44
2012-09-30,25.33,$1.08,23.46
2012-06-30,24.43,$1.01,24.19
2012-03-31,20.74,$0.94,22.06
2011-12-31,21.48,$0.86,24.98
2011-09-30,19.44,$2.50,7.77
2011-06-30,19.41,$2.32,8.37
2011-03-31,19.84,$1.68,11.81
2010-12-31,18.17,$1.31,13.87
2010-09-30,16.31,$0.15,108.76
2010-06-30,12.89,$0.25,51.57
2010-03-31,14.05,$0.84,16.73
2009-12-31,14.79,$1.28,11.55
2009-09-30,13.3,$2.51,5.3
