Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,80.49,,42.59
2024-06-30,72.87,$1.89,38.56
2018-12-31,40.2,$2.20,18.27
2018-09-30,39.6,$2.61,15.17
2018-06-30,35.14,$2.05,17.14
2018-03-31,35.74,$2.00,17.87
2017-09-30,35.18,$2.41,14.6
2016-03-31,32.92,$2.43,13.55
2015-12-31,31.95,$2.54,12.58
2015-09-30,31.37,$2.33,13.46
2015-06-30,28.18,$2.57,10.97
2015-03-31,28.68,$2.60,11.03
2014-12-31,28.69,$2.64,10.87
2014-09-30,28.78,$2.69,10.7
2014-06-30,31.0,$2.80,11.07
2014-03-31,30.99,$2.68,11.56
2013-12-31,28.63,$2.99,9.58
2013-09-30,25.96,$2.69,9.65
2013-06-30,22.59,$1.96,11.52
2016-09-30,33.33,$2.19,15.22
2013-03-31,23.59,$2.11,11.18
2012-12-31,20.16,$2.25,8.96
2012-09-30,19.76,$2.27,8.71
2012-06-30,17.63,$2.26,7.8
2012-03-31,17.87,$2.33,7.67
2011-12-31,16.02,$2.29,6.99
2011-09-30,15.38,$2.21,6.96
2011-06-30,17.95,$1.94,9.25
2011-03-31,16.71,$1.89,8.84
2010-12-31,15.26,$1.79,8.52
2010-09-30,12.93,$1.73,7.47
2010-06-30,10.75,$1.62,6.64
2010-03-31,11.46,$1.57,7.3
2009-12-31,8.75,$1.49,5.87
2009-09-30,8.8,$1.94,4.54
2009-06-30,6.82,$1.44,4.74
