First Bancorp PE Ratio Historical Data,First Bancorp PE Ratio Historical Data,First Bancorp PE Ratio Historical Data,First Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.62,,16.17
2024-06-30,31.75,$2.76,11.5
2024-03-31,35.68,$2.77,12.88
2023-12-31,36.34,$2.53,14.36
2023-09-30,27.47,$2.89,9.51
2023-06-30,28.82,$3.22,8.95
2023-03-31,34.16,$3.54,9.65
2022-12-31,40.94,$4.12,9.94
2022-09-30,34.79,$3.34,10.41
2022-06-30,32.99,$3.25,10.15
2022-03-31,39.23,$3.25,12.07
2021-12-31,42.72,$3.29,12.99
2021-09-30,40.01,$3.82,10.48
2021-06-30,37.89,$3.66,10.35
2021-03-31,40.09,$3.19,12.57
2020-12-31,31.04,$2.82,11.01
2020-09-30,19.1,$2.70,7.07
2020-06-30,22.69,$2.73,8.31
2020-03-31,20.73,$2.97,6.98
2019-12-31,35.56,$3.10,11.47
2019-09-30,31.84,$3.19,9.98
2019-06-30,32.2,$3.09,10.42
2019-03-31,30.63,$3.06,10.01
2018-12-31,28.68,$3.01,9.53
2018-09-30,35.46,$2.69,13.18
2018-06-30,35.72,$2.48,14.4
2018-03-31,31.05,$2.16,14.38
2017-12-31,30.67,$1.80,17.04
2017-09-30,29.82,$1.72,17.34
2017-06-30,27.03,$1.42,19.04
2017-03-31,25.26,$1.34,18.85
2016-12-31,23.34,$1.33,17.55
2016-09-30,16.97,$1.26,13.47
2016-06-30,15.02,$1.37,10.96
2016-03-31,16.03,$1.30,12.33
2015-12-31,15.87,$1.30,12.21
2015-09-30,14.33,$1.31,10.94
2015-06-30,14.0,$1.24,11.29
2015-03-31,14.67,$1.26,11.64
2014-12-31,15.36,$1.20,12.8
2014-09-30,13.26,$1.13,11.74
2014-06-30,15.12,$1.16,13.03
2014-03-31,15.59,$1.11,14.04
2013-12-31,13.58,$0.98,13.85
2013-09-30,11.75,$-0.82,0.0
2013-06-30,11.4,$-0.90,0.0
2013-03-31,10.84,$-1.02,0.0
2012-12-31,10.25,$-1.51,0.0
2012-09-30,9.16,$0.03,305.22
2012-06-30,7.01,$-0.23,0.0
2012-03-31,8.54,$-0.22,0.0
2011-12-31,8.65,$0.45,19.23
2011-09-30,7.74,$0.25,30.95
2011-06-30,7.83,$0.46,17.01
2011-03-31,10.06,$0.47,21.4
2010-12-31,11.54,$0.35,32.98
2010-09-30,10.21,$0.79,12.93
2010-06-30,10.8,$0.94,11.49
2010-03-31,10.03,$2.87,3.49
2009-12-31,10.3,$2.86,3.6
