Rocket Pharmaceuticals PE Ratio Historical Data,Rocket Pharmaceuticals PE Ratio Historical Data,Rocket Pharmaceuticals PE Ratio Historical Data,Rocket Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.43,,0.0
2024-06-30,21.53,$-2.79,0.0
2024-03-31,26.94,$-2.87,0.0
2023-12-31,29.97,$-2.94,0.0
2023-09-30,20.49,$-3.22,0.0
2023-06-30,19.87,$-3.34,0.0
2023-03-31,17.13,$-3.35,0.0
2022-12-31,19.57,$-3.29,0.0
2022-09-30,15.96,$-3.06,0.0
2022-06-30,13.76,$-2.98,0.0
2022-03-31,15.86,$-2.70,0.0
2021-12-31,21.83,$-2.68,0.0
2021-09-30,29.89,$-3.07,0.0
2021-06-30,44.29,$-2.81,0.0
2021-03-31,44.37,$-2.71,0.0
2020-12-31,54.84,$-2.51,0.0
2020-09-30,22.86,$-1.82,0.0
2020-06-30,20.93,$-1.67,0.0
2020-03-31,13.95,$-1.60,0.0
2019-12-31,22.76,$-1.58,0.0
2019-09-30,11.65,$-1.85,0.0
2019-06-30,15.0,$-1.87,0.0
2019-03-31,17.54,$-1.89,0.0
2018-12-31,14.82,$-1.88,0.0
2018-09-30,24.62,$-1.22,0.0
2018-06-30,19.63,$-0.82,0.0
2018-03-31,18.75,$-1.38,0.0
2017-12-31,10.44,$-2.56,0.0
2017-09-30,7.12,$-4.48,0.0
2017-06-30,7.6,$-6.12,0.0
2017-03-31,8.0,$-6.48,0.0
2016-12-31,24.4,$-6.40,0.0
2016-09-30,37.92,$-4.48,0.0
2016-06-30,29.76,$-3.44,0.0
2016-03-31,29.6,$-2.96,0.0
2015-12-31,45.32,$-11.36,0.0
