Azenta PE Ratio Historical Data,Azenta PE Ratio Historical Data,Azenta PE Ratio Historical Data,Azenta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.51,,0.0
2024-06-30,52.62,$-2.55,0.0
2024-03-31,60.28,$-2.50,0.0
2023-09-30,50.19,$-0.18,0.0
2023-06-30,46.68,$-0.52,0.0
2023-03-31,44.62,$-0.63,0.0
2022-12-31,58.22,$27.59,2.11
2022-09-30,42.86,$28.32,1.51
2022-06-30,72.1,$28.89,2.5
2022-03-31,82.88,$29.55,2.8
2021-12-31,103.11,$1.72,59.95
2021-09-30,102.26,$1.49,68.63
2021-06-30,95.08,$1.59,59.8
2021-03-31,81.4,$1.25,65.12
2020-12-31,67.55,$1.05,64.33
2020-09-30,45.99,$0.88,52.26
2020-06-30,43.89,$6.18,7.1
2020-03-31,30.19,$6.09,4.96
2019-12-31,41.42,$6.02,6.88
2019-09-30,36.46,$6.04,6.04
2019-06-30,38.05,$0.50,76.09
2019-03-31,28.73,$0.72,39.9
2018-12-31,25.56,$1.62,15.78
2018-09-30,34.08,$1.65,20.65
2018-06-30,31.65,$1.75,18.08
2018-03-31,26.19,$1.15,22.78
2017-12-31,22.98,$0.45,51.07
2017-09-30,29.14,$0.42,69.37
2023-12-31,65.14,$0.37,176.05
2017-06-30,20.74,$0.80,25.92
2017-03-31,21.34,$0.67,31.85
2016-12-31,16.19,$-0.75,0.0
2016-09-30,12.83,$-1.02,0.0
2016-06-30,10.49,$-1.07,0.0
2016-03-31,9.64,$-1.08,0.0
2015-12-31,9.8,$0.18,54.44
2015-09-30,10.65,$0.21,50.73
2015-06-30,10.32,$0.11,93.78
2015-03-31,10.39,$0.36,28.86
2014-12-31,11.29,$0.37,30.53
2014-09-30,9.23,$0.46,20.07
2014-06-30,9.38,$0.55,17.05
2014-03-31,9.44,$0.21,44.94
2013-12-31,8.99,$0.15,59.92
2013-09-30,7.92,$-0.04,0.0
2013-06-30,8.2,$1.64,5.0
2013-03-31,8.51,$1.74,4.89
2012-12-31,6.68,$1.89,3.53
2012-09-30,6.6,$2.08,3.17
2012-06-30,7.67,$0.50,15.35
2012-03-31,9.94,$1.40,7.1
2011-12-31,8.22,$1.67,4.92
2011-09-30,6.47,$2.00,3.24
2011-06-30,8.55,$2.07,4.13
2011-03-31,10.81,$1.38,7.83
2010-09-30,5.28,$0.93,5.68
2010-06-30,6.09,$0.32,19.02
2010-03-31,6.94,$-0.35,0.0
2009-12-31,6.76,$-3.11,0.0
2009-09-30,6.09,$-2.71,0.0
